Name of the role,Department,Location,Job type,Job description,URL
Business Development Director,Business Development,"Birmingham, England, United Kingdom",full,"At AND, we accelerate the development of digital capabilities. In practice, that means helping ambitious leaders and organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow.Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest challenges facing their businesses.We bring aboard thinkers, tinkerers, passionate software craftspeople and inspiring technologists to help us solve these challenges. Together, we’re united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won’t transform a business or save the world: it’s the people that count.About YouAs a Business Development Director, you will be responsible for taking ownership of all scale of new client opportunities with more of a focus on larger enterprises from initial contact through to close. As a result, you will need to be able to:  Build great relationships - Really get to know and understand CIO/CDO/CTO/CEOs. Help them solve their key problems and challenge their thinking and approaches to digital and software development.  Understand the tech and professional services landscape - Bring a wider business and technology perspective. Know the technical and business landscapes, including where the challenges and opportunities lie.   Win new clients as part of a team - Take the lead on opportunities from initial contact to close. Navigate complex environments, pulling together multiple strings to close effectively. Working as one of a two person BD team in the region with accountability for an annual target. You will be measured with a clear focus on the number and quality of new clients won by yourself and the team. You will need to close clients that achieve in the region of £3-6m of revenue each year for AND’s 100+ team in the region. It is also vital that we bring in the right clients. The AND services are focused and as such not relevant to some client organisations. We also look for a long term sustainable, “win-win” partnership with our clients from FTSE 100 to startups alike. To do that, it’s essential that you bring the following: Significant Enterprise Business Development experience in consulting, technology professional services in favour of product based organisations  A track record of winning million-pound plus new business deals with FTSE 100/FTSE 200 clients   Relationship Management skills - very strong at building relationships quickly and following a well organised collaborative way Working knowledge across three or more of the following - digital, business strategy, marketing, technology, Agile, change management and business transformation.  Credible at C Suite Level - Aware of the challenges facing CIOs, CTOs and wider C Suite, able to support their thinking and approach to solving these  It's helpful if you also have: Have a strong CIO and CTO network in the region that would be buyers of AND Comfortable in ambiguity and being part of a small, dynamic team; able to work autonomously, but also an effective team player Collaborative approach to working with internal teams, where no new client is closed without the support of other ANDis Organised, structured and creative Joining ANDFrom the work we deliver, to the way we serve and support our people, we work hard to ensure that there’s nowhere quite like AND. But joining a company is a two-way street: the fit has to work on both sides. So before you apply, here’s three key things to understand about us: We’re built for people - like, real humans. Not ‘resources’ or ‘staff’. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy. There’s no well-trodden path ahead: AND is growing fast and forging a new trail. That’s exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience. Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it’s business critical for us. Still sound good? Great! Fill out the short application form below and we’ll be in touch.",https://apply.workable.com/and-digital/j/832709C8D7/
Cloud Engineer (Amsterdam),Cloud,"Amsterdam, North Holland, Netherlands",full,"Who We Are:AND Digital are a tech company focused on accelerating digital delivery and dedicated to closing the digital skills gap. We’ve been helping organisations build better digital products and stronger digital teams since 2014.We believe our work should always leave a legacy for the client. We do this through close relationships with our offices (or ‘Clubs’) so that our partners are always prioritised by a regional team close to them.This unique model has driven success for our clients and ourselves, evidenced by our remarkable organic growth since 2014. Today we number more than 1,300 people with Clubs all over the UK and Europe with plans for global expansion in the next couple of years.Join us - and help us fulfil our mission to close the world’s digital skills gap.What you’ll bring to the table:As a Cloud Engineer, you will be a specialist in your team, building scalable cloud solutions to solve a variety of problems. You will act as a consultant in Cloud technology to clients. To do this, you will need to be able to: Build and maintain an IaC codebase using the latest best practices and industry standards, inline with our clients security policies. Be comfortable discussing the business/commercial benefits of Cloud whilst being equally comfortable deep diving into AWS or Azure platform configurations. Be curious and have an ability to horizon scan and evaluate new technology options and vendor products and understand how these can be used to solve our clients problems. Share your skills and experience by becoming an advocate for mentoring and upskilling of clients and other ANDis as part of day-to-day activities Have experience with one of the main Cloud providers (AWS, Azure or GCP), and willing to learn others where necessary Have knowledge of tools such as Terraform, Jenkins, Docker, Ansible Have knowledge of Continuous Integration or Continuous Delivery environments Have knowledge of using containers (Docker or Kubernetes).  Skills we would also expect you to grow & develop: Presenting to a variety of audiences Commercial awareness, of the consulting business model Demonstrable innovation and problem solving abilities - not just with technology Interacting with stakeholders and creating value for them Be able to give/receive feedback  Why join AND Digital?We have three values: wonder, share, and delight. These values inform how we work with clients, and our culture: what it feels like to work for AND. We believe collaboration, ambition, curiosity and fun can drive innovation by creating a better environment for problem-solving.By joining AND, we’ll provide: Opportunities to work on projects with big clients and the chance to produce meaningful work that makes a difference to people’s lives. A “Blended Working” model, meaning you will be able to work in a range of locations from; your home, in your clubhouse, on a client, as well as just a change of scenery. A dedicated career scrum team, designed to help you reach your career goals and develop the skills you need to be your best self. An annual budget for training and upskilling, including allocated days off so you don’t have to study in your own free time. Monthly and quarterly team socials - on us - ranging from after work drinks, to driving experience days with your fellow club members. A safe environment for you to be yourself and challenge yourself.  Equal Opportunities StatementAt AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.We want you to feel safe and empowered to let us know if you require any adjustments to be made to your application or interview process so please speak to our recruitment team.",https://apply.workable.com/and-digital/j/8EF6A4F022/
Cloud Engineer (Rotterdam),Cloud,"Rotterdam, South Holland, Netherlands",full,"Who We Are:AND Digital are a tech company focused on accelerating digital delivery and dedicated to closing the digital skills gap. We’ve been helping organisations build better digital products and stronger digital teams since 2014.We believe our work should always leave a legacy for the client. We do this through close relationships with our offices (or ‘Clubs’) so that our partners are always prioritised by a regional team close to them.This unique model has driven success for our clients and ourselves, evidenced by our remarkable organic growth since 2014. Today we number more than 1,300 people with Clubs all over the UK and Europe with plans for global expansion in the next couple of years.Join us - and help us fulfil our mission to close the world’s digital skills gap.What you’ll bring to the table:As a Cloud Engineer, you will be a specialist in your team, building scalable cloud solutions to solve a variety of problems. You will act as a consultant in Cloud technology to clients. To do this, you will need to be able to: Build and maintain an IaC codebase using the latest best practices and industry standards, inline with our clients security policies. Be comfortable discussing the business/commercial benefits of Cloud whilst being equally comfortable deep diving into AWS or Azure platform configurations. Be curious and have an ability to horizon scan and evaluate new technology options and vendor products and understand how these can be used to solve our clients problems. Share your skills and experience by becoming an advocate for mentoring and upskilling of clients and other ANDis as part of day-to-day activities Have experience with one of the main Cloud providers (AWS, Azure or GCP), and willing to learn others where necessary Have knowledge of tools such as Terraform, Jenkins, Docker, Ansible Have knowledge of Continuous Integration or Continuous Delivery environments Have knowledge of using containers (Docker or Kubernetes).  Skills we would also expect you to grow & develop: Presenting to a variety of audiences Commercial awareness, of the consulting business model Demonstrable innovation and problem solving abilities - not just with technology Interacting with stakeholders and creating value for them Be able to give/receive feedback  Why join AND Digital?We have three values: wonder, share, and delight. These values inform how we work with clients, and our culture: what it feels like to work for AND. We believe collaboration, ambition, curiosity and fun can drive innovation by creating a better environment for problem-solving.By joining AND, we’ll provide: Opportunities to work on projects with big clients and the chance to produce meaningful work that makes a difference to people’s lives. A “Blended Working” model, meaning you will be able to work in a range of locations from; your home, in your clubhouse, on a client, as well as just a change of scenery. A dedicated career scrum team, designed to help you reach your career goals and develop the skills you need to be your best self. An annual budget for training and upskilling, including allocated days off so you don’t have to study in your own free time. Monthly and quarterly team socials - on us - ranging from after work drinks, to driving experience days with your fellow club members. A safe environment for you to be yourself and challenge yourself.  Equal Opportunities StatementAt AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.We want you to feel safe and empowered to let us know if you require any adjustments to be made to your application or interview process so please speak to our recruitment team.",https://apply.workable.com/and-digital/j/E4040E056A/
Cloud Lead,Cloud,"Bristol, England, United Kingdom",full,"About ANDAt AND, we accelerate the development of digital capabilities. In practice, that means helping organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow.Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest issues facing their businesses.We bring aboard thinkers, tinkerers, passionate software crafts people and inspiring technologists to help us solve these issues. Together, we’re united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won’t transform a business or save the world: it’s the people that count.About YouAs a Cloud Lead, at AND Digital you’ll act as a hands on, Lead Cloud Engineer working across a Club’s portfolio of clients, onsite and in multi-skilled delivery teams. As a result, you will need to be able to: Use your expert tech knowledge to influence the direction of projects whilst coaching and upskilling a team through implementing cloud engineering best practice. Be hands on with cloud enablement projects, understand what good looks like and see the bigger picture, taking architecture, security, service and delivery into consideration. Give and receive regular feedback to help the Cloud community within AND Line manage a team of Cloud Engineers, providing mentorship and guidance to grow their knowledge and skills Remain hands on with cloud engineering, with a clear progression path to become more senior in your field without the responsibility of managing a team. To do that, it’s essential you bring the following: Infrastructure as code and considered project experience with AWS or Azure or GCP Cloud Migrations and Cloud Native operations . Continuous Integration and Deployment. Experience of tools such as Jenkins, Terraform, Ansible, Docker or Kubernetes  Joining ANDFrom the work we deliver, to the way we serve and support our people, we work hard to ensure that there’s nowhere quite like AND. But joining a company is a two-way street: the fit has to work on both sides. So before you apply, here’s three key things to understand about us: We’re built for people - like, real humans. Not ‘resources’ or ‘staff’. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy. There’s no well-trodden path ahead: AND is growing fast and forging a new trail. That’s exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience. Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it’s business critical for us. At AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.",https://apply.workable.com/and-digital/j/4E486B9A96/
Data Principal,Engineering,"Birmingham, England, United Kingdom",full,"Who We Are:AND Digital are a tech company focused on accelerating digital delivery and dedicated to closing the digital skills gap. We’ve been helping organisations build better digital products and stronger digital teams since 2014.We believe our work should always leave a legacy for the client. We do this through close relationships with our offices (or ‘Clubs’) so that our partners are always prioritised by a regional team close to them.This unique model has driven success for our clients and ourselves, evidenced by our remarkable organic growth since 2014. Today we number more than 1,300 people with Clubs all over the UK and Europe with plans for global expansion in the next couple of years.Join us - and help us fulfil our mission to close the world’s digital skills gap.What you’ll bring to the table:As a Data Engineering Principal for a newer club, you will be a hands on, senior data technologist. Working within a team that has high impact and importance for the business, providing team support, driving technical excellence, fostering a culture of innovation while delivering customer value at pace and insisting on high quality and simplicity.You’ll also make a real impact by taking an active role in the team’s Agile Development practices, technical decision making and development, generating value and continuously striving to improve the quality and reliability of our data and processes.You will spend the majority of your time helping deliver client data engineering opportunities, building our data engineering capabilities, growing our technologists and influencing how we think about data, both within AND and for our clients. To do that, it’s essential you bring the following: Proven track record of leadership of teams and problem solving at the enterprise scale in the field of Data Architecture, Science or Analytics. With hands-on technical delivery of client-facing data projects across the full SDLC from design to migration, integration and live service in a multi-vendor environment Strong skills in languages such as Python, R, SQL or Scala, alongside experience of using modern and traditional data technologies including: ElasticSearch, MongoDB, PostgreSQL, mySQL/mariaDB, Oracle, SQL Server, Hadoop, Kafka, Splunk/ELK or other logging and monitoring tools, BI and Data Warehousing solutions and ETL and migration technologies. This should be backed with strong cloud-native data engineering skills e.g. AWS RDS, Aurora, Redshift, Kinesis, Glue or Azure CosmosDB, DataFactory, DataWarehouse, SQL DB etc. Proven experience in quality assuring data programmes, including non-functional testing and performance tuning Hands-on experience of modern software delivery, including CI/CD and DevOps practices with a deep understanding and extensive track record of delivering complex data solutions using Agile methods including Scrum, SAFe etc. A keen understanding of industry best-practice around standards, quality and continuous improvement in the field of Data Engineering Experience in conducting large scale enterprise batch and real-time processing from varying sources Experience in building and designing scalable and extensible enterprise data architectures  Why join AND Digital?We have three values: wonder, share, and delight. These values inform how we work with clients, and our culture: what it feels like to work for AND. We believe collaboration, ambition, curiosity and fun can drive innovation by creating a better environment for problem-solving.By joining AND, we’ll provide: Opportunities to work on projects with big clients and the chance to produce meaningful work that makes a difference to people’s lives. A “Blended Working” model, meaning you will be able to work in a range of locations from; your home, in your clubhouse, on a client, as well as just a change of scenery. A dedicated career scrum team, designed to help you reach your career goals and develop the skills you need to be your best self. An annual budget for training and upskilling, including allocated days off so you don’t have to study in your own free time. Monthly and quarterly team socials - on us - ranging from after work drinks, to driving experience days with your fellow club members. A safe environment for you to be yourself and challenge yourself. Benefits 26 days holiday allowance + bank holidays 13 days per year for innovation or upskilling 2 days per year for volunteering Share scheme A £1000 flexifund to use on a personalised list of benefits such Gym membership, Cycle to Work Scheme, Health, dental and optical cash plan PLUS many more For a full list of benefits - click hereEqual Opportunities StatementAt AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.We want you to feel safe and empowered to let us know if you require any adjustments to be made to your application or interview process so please speak to our recruitment team.",https://apply.workable.com/and-digital/j/0A8D2B7E4D/
Cloud Lead,Cloud,"Birmingham, England, United Kingdom",full,"About ANDAt AND, we accelerate the development of digital capabilities. In practice, that means helping organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow.Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest issues facing their businesses.We bring aboard thinkers, tinkerers, passionate software crafts people and inspiring technologists to help us solve these issues. Together, we’re united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won’t transform a business or save the world: it’s the people that count.About YouAs a Cloud Lead, at AND Digital you’ll act as a hands on, Lead Cloud Engineer working across a Club’s portfolio of clients, onsite and in multi-skilled delivery teams. As a result, you will need to be able to: Use your expert tech knowledge to influence the direction of projects whilst coaching and upskilling a team through implementing cloud engineering best practice. Be hands on with cloud enablement projects, understand what good looks like and see the bigger picture, taking architecture, security, service and delivery into consideration. Give and receive regular feedback to help the Cloud community within AND Line manage a team of Cloud Engineers, providing mentorship and guidance to grow their knowledge and skills Remain hands on with cloud engineering, with a clear progression path to become more senior in your field without the responsibility of managing a team. To do that, it’s essential you bring the following: Infrastructure as code and considered project experience with AWS or Azure or GCP Cloud Migrations and Cloud Native operations . Continuous Integration and Deployment. Experience of tools such as Jenkins, Terraform, Ansible, Docker or Kubernetes  Joining ANDFrom the work we deliver, to the way we serve and support our people, we work hard to ensure that there’s nowhere quite like AND. But joining a company is a two-way street: the fit has to work on both sides. So before you apply, here’s three key things to understand about us: We’re built for people - like, real humans. Not ‘resources’ or ‘staff’. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy. There’s no well-trodden path ahead: AND is growing fast and forging a new trail. That’s exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience. Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it’s business critical for us. At AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.",https://apply.workable.com/and-digital/j/EBD5B9D7A3/
Cloud Lead,Cloud,"Manchester, England, United Kingdom",full,"About ANDAt AND, we accelerate the development of digital capabilities. In practice, that means helping organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow.Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest issues facing their businesses.We bring aboard thinkers, tinkerers, passionate software crafts people and inspiring technologists to help us solve these issues. Together, we’re united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won’t transform a business or save the world: it’s the people that count.About YouAs a Cloud Lead, at AND Digital you’ll act as a hands on, Lead Cloud Engineer working across a Club’s portfolio of clients, onsite and in multi-skilled delivery teams. As a result, you will need to be able to: Use your expert tech knowledge to influence the direction of projects whilst coaching and upskilling a team through implementing cloud engineering best practice. Be hands on with cloud enablement projects, understand what good looks like and see the bigger picture, taking architecture, security, service and delivery into consideration. Give and receive regular feedback to help the Cloud community within AND Line manage a team of Cloud Engineers, providing mentorship and guidance to grow their knowledge and skills Remain hands on with cloud engineering, with a clear progression path to become more senior in your field without the responsibility of managing a team. To do that, it’s essential you bring the following: Infrastructure as code and considered project experience with AWS or Azure or GCP Cloud Migrations and Cloud Native operations . Continuous Integration and Deployment. Experience of tools such as Jenkins, Terraform, Ansible, Docker or Kubernetes  Joining ANDFrom the work we deliver, to the way we serve and support our people, we work hard to ensure that there’s nowhere quite like AND. But joining a company is a two-way street: the fit has to work on both sides. So before you apply, here’s three key things to understand about us: We’re built for people - like, real humans. Not ‘resources’ or ‘staff’. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy. There’s no well-trodden path ahead: AND is growing fast and forging a new trail. That’s exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience. Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it’s business critical for us. At AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.",https://apply.workable.com/and-digital/j/BC025FA823/
Delivery Lead / Team Lead Rotterdam Based,Product/Agile,"Rotterdam, South Holland, Netherlands",full,"Who We Are:AND Digital are a tech company focused on accelerating digital delivery and dedicated to closing the digital skills gap. We’ve been helping organisations build better digital products and stronger digital teams since 2014.We believe our work should always leave a legacy for the client. We do this through close relationships with our offices (or ‘Clubs’) so that our partners are always prioritized by a regional team close to them.This unique model has driven success for our clients and ourselves, evidenced by our remarkable organic growth since 2014. Today we number more than 1,300 people with Clubs all over the UK and Europe with plans for global expansion in the next couple of years.Join us - and help us fulfil our mission to close the world’s digital skills gap.What you’ll bring to the table: Experience working in a customer facing (either internal or external) environment so that you understand the dynamics of supplier-client relationships; Experience leading Product Delivery Teams so we know you get what we do Experience line managing teams of 5+ people – handling some of the tricky stuff as well as developing the talent within your team; Demonstrable experience of leading multiple squads or teams at the same time in a product development environment. Those teams might have been working on the same product or completely different ones - we just want to make sure you are comfortable with the scale and context switching that comes with a role like this. A deep understanding of a variety of delivery methodologies (especially Scrum and Kanban); An understanding of the need to be flexible – to tailor your approach depending on who you’re working with, to see the opportunity when things aren’t perfect, to enable teams to deliver remarkable work by wearing these different hats. Speak Dutch and English fluently Why join AND Digital?We have three values: wonder, share, and delight. These values inform how we work with clients, and our culture: what it feels like to work for AND. We believe collaboration, ambition, curiosity and fun can drive innovation by creating a better environment for problem-solving.By joining AND, we’ll provide: Opportunities to work on projects with big clients and the chance to produce meaningful work that makes a difference to people’s lives. A “Blended Working” model, meaning you will be able to work in a range of locations from; your home, in your clubhouse, on a client, as well as just a change of scenery. A dedicated career scrum team, designed to help you reach your career goals and develop the skills you need to be your best self. An annual budget for training and upskilling, including allocated days off so you don’t have to study in your own free time. Monthly and quarterly team socials - on us - ranging from after work drinks, to driving experience days with your fellow club members. A safe environment for you to be yourself and challenge yourself. Equal Opportunities StatementAt AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.We want you to feel safe and empowered to let us know if you require any adjustments to be made to your application or interview process so please speak to our recruitment team.",https://apply.workable.com/and-digital/j/A664EDC7AA/
Cloud Lead (Leeds),Cloud,"Leeds, England, United Kingdom",full,"About ANDAt AND, we accelerate the development of digital capabilities. In practice, that means helping organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow.Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest issues facing their businesses.We bring aboard thinkers, tinkerers, passionate software crafts people and inspiring technologists to help us solve these issues. Together, we’re united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won’t transform a business or save the world: it’s the people that count.About YouAs a Cloud Lead, at AND Digital you’ll act as a hands on, senior cloud engineer working across a Club’s portfolio of clients, onsite and in multi-skilled delivery teams. As a result, you will need to be able to: Use your expert tech knowledge to influence the direction of projects whilst coaching and upskilling a team through implementing cloud engineering best practice. Be hands on with cloud enablement projects, understand what good looks like and see the bigger picture, taking architecture, security, service and delivery into consideration. Give and receive regular feedback to help the Cloud community within AND, develop, mentor and guide engineers to grow their knowledge and skills. Remain hands on with cloud engineering, with a clear progression path to become more senior in your field without the responsibility of managing a team.  To do that, it’s essential you bring the following: Infrastructure as code experience with AWS, Azure, GCP and other cloud technologies. Cloud Migrations and Cloud Native operations. Continuous Integration and Deployment. Experience tools such as Jenkins, Terraform, Ansible, Docker or Kubernetes Technical mentorship and experience delivering cloud projects.  Joining ANDFrom the work we deliver, to the way we serve and support our people, we work hard to ensure that there’s nowhere quite like AND. But joining a company is a two-way street: the fit has to work on both sides. So before you apply, here’s three key things to understand about us: We’re built for people - like, real humans. Not ‘resources’ or ‘staff’. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy. There’s no well-trodden path ahead: AND is growing fast and forging a new trail. That’s exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience. Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it’s business critical for us.At AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application. ",https://apply.workable.com/and-digital/j/617E5C73B7/
Cloud Business Development Lead,Cloud,"Bristol, England, United Kingdom",full,"Who We Are:AND Digital are a tech company focused on accelerating digital delivery and dedicated to closing the digital skills gap. We’ve been helping organisations build better digital products and stronger digital teams since 2014. We believe our work should always leave a legacy for the client. We do this through close relationships with our offices (or ‘Clubs’) so that our partners are always prioritized by a regional team close to them.This unique model has driven success for our clients and ourselves, evidenced by our remarkable organic growth since 2014. Today we number more than 1,300 people with Clubs all over the UK and Europe with plans for global expansion in the next couple of years. Join us - and help us fulfil our mission to close the world’s digital skills gap. What you’ll bring to the table:As a Cloud Business Development Lead, you will play a strategic and pivotal management role in the Cloud Engineering LoB; accountable for building relationships between the LoB and its clients, growing the accounts, and establishing a strong lasting partnership between AND Digital and the client organisations. As a result, you will need to: Have infrastructure or Cloud experience at a delivery level to assist in day to day management of clients to support our Cloud engineers in the delivery of Cloud projects. Be comfortable that you would be directly responsible for managing and growing anything from six to 12 client accounts and supporting the head of Cloud Engineering. Manage day to day relationships with clients as well as internal operational activities e.g. people scheduling, onboarding, commercial documents and invoicing. Be able to establish deeper partnerships, expand relationships, create new opportunities and grow client accounts. Have strong experience working in digital or tech environments (e.g. web/app development house, marketing agency, consulting, Cloud provider/services etc.). A track record of building outstanding relationships with clients and the ability to win, grow, retain and expand key accounts. Have proven experience in shaping and selling complex and effective propositions, which exceed client expectations and challenge the status quo. Why join AND Digital? We have three values: wonder, share, and delight. These values inform how we work with clients, and our culture: what it feels like to work for AND. We believe collaboration, ambition, curiosity and fun can drive innovation by creating a better environment for problem-solving. By joining AND, we’ll provide:  Opportunities to work on projects with big clients and the chance to produce meaningful work that makes a difference to people’s lives. A “Blended Working” model, meaning you will be able to work in a range of locations from; your home, in your clubhouse, on a client, as well as just a change of scenery. A dedicated career scrum team, designed to help you reach your career goals and develop the skills you need to be your best self. An annual budget for training and upskilling, including allocated days off so you don’t have to study in your own free time. Monthly and quarterly team socials - on us - ranging from after work drinks, to driving experience days with your fellow club members. A safe environment for you to be yourself and challenge yourself.  Benefits  26 days holiday allowance + bank holidays 13 days per year for innovation or upskilling 2 days per year for volunteering Share scheme A £1000 flexifund to use on a personalised list of benefits such Gym membership, Cycle to Work Scheme, Health, dental and optical cash plan  PLUS many more  For a full list of benefits - click hereEqual Opportunities Statement At AND Digital we embrace diversity and are committed to equal opportunities. We are actively recruiting for a diverse and inclusive workforce so want to ensure we do everything we can to support your application.We want you to feel safe and empowered to let us know if you require any adjustments to be made to your application or interview process so please speak to our recruitment team.",https://apply.workable.com/and-digital/j/9A5A0792DD/
