Name of the role,Department,Location,Job type,Job description,URL
Social Worker - Per Diem (PRN) Inpatient,*Case Management,Belmont Behavioral Hospital,Part Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
Belmont Behavioral Hospital currently has an opening for a Per Diem (PRN), Social Worker (Case Manager), in our Social Services Department.
The Social Worker (Case Manager) provides comprehensive case management for acutely ill psychiatric and substance abusing patients. The Social Worker (Case Manager) works completes assessments and works collaboratively with the treatment team to develop treatment and discharge recommendations.  This role involves both individual and family work, case management, utilization review, and discharge planning.
Bachelor’s degree in Social Work, Counseling or related human service field required with one or more years’ experience working in a behavioral health setting preferred. Degree must be from an accredited program or approved school.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=9c75246a-a56f-48e3-bb39-8e359e1eaf83
Registered Nurse (RN) - Night Shift,*Nursing,Philadelphia Crisis Response Center,Full Time,"We are looking to add compassionate RNs to our nurse team! Belmont Behavioral Hospital is a 180-bed treatment center providing services to children, adults and adolescents on both an inpatient and outpatient basis. 
BENEFITS:
Belmont provides a comprehensive package of benefits for our (Full -Time Benefit eligible and Full Time positions). 
Current benefits include:

Competitive hourly rate with shift differential available
Medical, dental, and vision insurance
Acadia Healthcare 401(k) plan
Excellent training program
Professional growth opportunity that is second to none in the industry.

 
AVAILABLE SHIFTS AND HOURS 
We have full and part-time staff RN positions available for day, evening and night shifts) . 
Belmont Behavioral Hospital is currently seeking a Registered Nurse for a Full-time Night shift position, including every other weekend.
 
TRAINING AND ORIENTATION 
Belmont is committed to training and safety. All new-hire RNs will attend a 6-day hospital-wide orientation before spending 2 weeks in unit orientation with a preceptor. 
 
The Registered Nurse:

Provides and coordinate care by assessing physical and behavioral health needs of patient, develop and implement nursing care plans, maintain medical records and educate patients and their families about various physical and behavioral health conditions. 
Provides nursing care and services within the standards and scope of nursing practice as defined within the state Nurse Practice Act regulations, policies, procedures and protocols, as well as facility and corporate policies and procedures.
Ensure physician’s orders are legible if taken verbally and transcribed appropriately per policy and procedure.
Ensure patient’s status is assessed on an ongoing basis and pertinent information gathered is documented. Notify physician of significant changes in status such as difficulties with detox, medical emergency or change in medical status regarding response to medications, etc.
Nursing treatment plans are specific to assessed needs. Initial treatment plan is completed upon admission.

The ideal candidate will:

Graduated from an accredited school of nursing.
Current Registered Nurse (RN) license in the State of Pennsylvania
Current Mandated Reporting Training and CPR certification required.
Previous psych nursing experiencing highly preferred.

 ",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=71a2a2ec-9b23-4aed-bc17-0d6968d8dba7
Nurse Supervisor - Full-Time and Per-Diem,*Nursing,Belmont Behavioral Hospital,Full Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Full-Time and Per Diem (PRN), Nurse Supervisor, at Belmont Behavioral Hospital.
The Nurse Supervisor provides both administrative and clinical support for all hospital and nursing operations. The Nurse Supervisor will manage staffing issues, clinical care issues, serious events, and assumes the leadership role for the assigned shift.  This position interacts will all levels of staff and management. 
The ideal candidate will:
BSN/MSN preferred, will consider candidates currently enrolled in a BSN/MSN program.  Minimum of three years staff nurse experience with minimum of one years in psychiatry and one year management or supervisory experience required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=f8f49096-08d7-4e1a-b63b-f8fbc1093228
Behavioral Health Associate - Admissions - PT Day shift,*Patient Support,Belmont Behavioral Hospital,Part Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Part time Day shift (7am - 3:30pm) (16hrs weekly) Behavioral Health Associate in the Admissions Department, at Belmont Behavioral Hospital.
In this role, you will be responsible for:

Under the direction and supervision of the admissions director, performs and assists with various tasks including basic patient care, direct and indirect diagnostic and therapeutic procedures.

The position requires a High school diploma or equivalent (GED) along with at least 12 college credits and 2 years experience in Human Services and/or Behavioral Health.  If a candidate has a Bachelor's degree in a human services field, 1 year of experience is required.  Current CPR certification is required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=ea03d1fc-7aff-4381-ad0b-3f900b7388cb
Behavioral Health Associate - Admissions - PT Evening shift,*Patient Support,Belmont Behavioral Hospital,Part Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Part time Evening Shift (3 pm - 11:30pm) (16hrs weekly) Behavioral Health Associate in the Admissions Department, at Belmont Behavioral Hospital.
In this role, you will be responsible for:

Under the direction and supervision of the admissions director, performs and assists with various tasks including basic patient care, direct and indirect diagnostic and therapeutic procedures.

The position requires a High school diploma or equivalent (GED) along with at least 12 college credits and 2 years experience in Human Services and/or Behavioral Health.  If a candidate has a Bachelor's degree in a human services field, 1 year of experience is required.  Current CPR certification is required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=8b8f7768-94cc-46a9-b4e7-c494c7b67b8a
Teacher - Special Education,*Teacher,Belmont Behavioral Hospital,Full Time,"Belmont Behavioral Health System is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a FT, Special Education Teacher at Belmont Behavioral Health System (New Oaks Academy School).

Teach students a standards-aligned curriculum on their respective grade level and differentiate as needed to meet them on their current level.
Teach a standards-aligned social-emotional learning curriculum as part of our Advisory Period
Actively participate in a collaborate professional learning community
Attend all required professional development
Maintain valid certifications and licensure as required by the Pennsylvania Department of Education (PDE)
Utilize curriculum provided to develop cohesive unit plans and weekly lesson plans with clearly identified daily learning targets that supports students’ mastery of knowledge and skills
Actively and frequently assess student learning through a variety of informal and formal methods
Monitor student academic and behavioral progress through data collection, observation, and other quantitative and/or qualitative methods. Observe and record student progress daily, or as directed by school administrator.
Be an active and supporting member of any identified students’ IEP team by adhering to the guidelines provided by school administrator and in accordance with state/federal regulations.
Manage student behavior through individualized motivational systems within your own classroom as well as supporting the school-wide positive behavior support system.
Develop and enforce classroom rules and school policies as outlined in the school handbook.
Always actively monitor and supervise your students in your classroom and in any other space (i.e. the bathroom or hallway) while they are assigned to your class period. You will have support with this in the school environment.
Complete assigned tasks and documentation as required by the school administrator
Adhere to treatment plans and participate in treatment plan meetings as directed by school administrator.
Demonstrate a positive, empathetic and professional attitude towards your students, colleagues, school leaders and administrators at all times.
Be an educational leader and positive role model for your students at all times.
Be open and willing to listen, reflect, learn and grow as a professional.

The ideal candidate will:

Bachelor’s level degree in Education and PA certification in Early Childhood; Elementary and/or Secondary Education is required.
Content area and dual certifications (i.e. ELA and Special Education) are preferred, but not required.
Prior experience working with children and/or adolescents with behavioral health challenges within a school setting is highly desirable.
",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=b3f6e11c-20ac-4a50-848c-fe38ec03fd75
Clinical Case Manager -Adult Services,*Social Services,Belmont Behavioral Hospital,Full Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
Belmont Behavioral Hospital currently has an opening for a Full time Clinical Case Manager, in our Social Services Department.
The Clinical Case Manager provides comprehensive case management for acutely ill psychiatric and substance abusing patients. The Clinical Case Manager completes assessments and works collaboratively with the treatment team to develop treatment and discharge recommendations. This role involves both individual and family work, case management, utilization review, and discharge planning.
Master's Degree in Social Work, or related human service area (counseling, psychology, education) with three or more years’ experience in a mental health setting required.  Degree must be from an accredited program or approved school.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=ca423f93-6877-4a58-a513-c86cb7ffac0f
Nurse Supervisor - Full time,*Nursing,Belmont Behavioral Hospital,Full Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Full time, Nurse Supervisor & (Every Other Weekend), at Belmont Behavioral Hospital.
The Nurse Supervisor provides both administrative and clinical support for all hospital and nursing operations. The Nurse Supervisor will manage staffing issues, clinical care issues, serious events, and assumes the leadership role for the assigned shift.  This position interacts will all levels of staff and management. 
The ideal candidate will:
BSN/MSN preferred, will consider candidates currently enrolled in a BSN/MSN program.  Minimum of three years staff nurse experience with minimum of one years in psychiatry and one year management or supervisory experience required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=1884dcb8-e743-4289-9997-f631b3f921c9
Behavioral Health Associate - Admissions - PT Evening shift,*Patient Support,Belmont Behavioral Hospital,Part Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Part time Day shift (3pm - 11:30pm) Behavioral Health Associate in the Admissions Department, at Belmont Behavioral Hospital.
In this role, you will be responsible for:

Under the direction and supervision of the admissions director, performs and assists with various tasks including basic patient care, direct and indirect diagnostic and therapeutic procedures.

The position requires a High school diploma or equivalent (GED) along with at least 12 college credits and 2 years experience in Human Services and/or Behavioral Health.  If a candidate has a Bachelor's degree in a human services field, 1 year of experience is required.  Current CPR certification is required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=0bbdaa41-aade-4498-a470-f623f25cfffd
Behavioral Health Associate - Admissions - PT Night Shift,*Patient Support,Belmont Behavioral Hospital,Part Time,"Belmont Behavioral Hospital is a premiere provider of comprehensive treatment for mental health conditions and substance abuse problems. Having been in operation for over 75 years as one of the most prominent providers of behavioral healthcare treatment services, Belmont is proud to offer high quality and specialized programming options for children, adolescents, adults, and older adults who are suffering from psychiatric concerns and chemical dependency.
We are currently seeking a Part time Night Shift (11 pm - 7:30 am) (16hrs weekly) Behavioral Health Associate in the Admissions Department, at Belmont Behavioral Hospital.
In this role, you will be responsible for:

Under the direction and supervision of the admissions director, performs and assists with various tasks including basic patient care, direct and indirect diagnostic and therapeutic procedures.

The position requires a High school diploma or equivalent (GED) along with at least 12 college credits and 2 years experience in Human Services and/or Behavioral Health.  If a candidate has a Bachelor's degree in a human services field, 1 year of experience is required.  Current CPR certification is required.",https://recruiting.ultipro.com/ACA1001/JobBoard/f24b6286-a80b-4d02-e4e1-ad04762a00de/OpportunityDetail?opportunityId=04646b93-3189-42a6-94ec-ce6984c7ff50
