Name of the role,Department,Location,Job type,Job description,URL
Software Engineer,,Remote,,"
Knowledgeable with software development and testing methodologies.  Working experience of Agile or Scrum preferred. 
Proficiency with C# required, including LINQ and proficient knowledge of .NET Framework 4.x and working knowledge with .NET Core  
Proficient with ASP.NET MVC, Web API (Rest API) and WCF Services 
Excellent knowledge of Microsoft SQL Server 201X and proficiency with TSQL 
Proficient with Visual Studio 2015+ and working knowledge of IIS 8.x and later versions 
Excellent knowledge of HTML and CSS 
Excellent knowledge of JavaScript and Ajax and jQuery 
Working knowledge of Angular and typescript 
Ability to effectively communicate, coordinate and work with other team members 
Desire to innovate with new technologies and collaborate with a like-minded team 
Proficient with version control tools (TFS source control/git) and code management best practices 
Health insurance or general healthcare experience preferred 
",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c00z9s12Cgv_Jj4lKjPyn6k=
Performance Engineer,,Remote,,"What We Expect From You
• Bachelor’s Degree, Computer Science, Engineering or related preferred
• 7+ years of Performance testing experience in a web application environment, testing User Interfaces, backend databases, Web services, APIs, Batch/ETL application components. Experience in creating and implementing performance test methodologies and processes.
• 5+ years of hands-on scripting/coding experience with Jmeter, Blazemeter, Gatling/Scala, or other similar tools which uses object-oriented programs
• 3+ years of experience using one or more Application performance monitoring tools (DataDog, Dynatrace, NewRelic, Splunk etc)
• 2+yrs of hands-on experience load testing REST Api's
• Prior experience in a Continuous Integration/Delivery/Testing (CI/CD/CT) environment supporting weekly or daily deployments
• Should have a very good understanding of various application tiers and middle-ware in a web-based development environment.
• Exposure to incremental agile software development methodologies. Prior experience working closely with Developers and Architects in solving software performance issues.
Requirements

Performance Testing, JMeter, Blazemeter, Datadog, Dynatrace, REST API, Continuous Integration / Continuous Delivery (CICD), Continuous Delivery, Middleware Application",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c8_YSNhewLdmJ2XsZWjhvtg=
QA,,Remote,,"[19/10 22:15] Ritu Mangla
Description

The Senior Performance Engineer will help develop and implement an automated performance testing framework that can be used for test-driven and continuous testing as part of agile scrum development. In addition, this position will utilize appropriate test tools, monitoring tools, processes and practices as defined by the Director of QA and the QA Lead for performance, load, stress, soak, and destructive testing, as well as building in quality standards throughout the SDLC to avoid defects and minimize rework and waste.

Essential Duties, Responsibilities & Outcomes

Partner with Product Owners, Developers, Cloud Engineers, and Architects to develop a robust performance testing approach for a microservices architecture.
Responsible for developing performance test plans and automated test scripts using tools such as Jmeter, Blazemeter, Gatling, or Similar tools.
Responsible for identifying performance tuning opportunities in custom Java code, Database queries, and application configurations, making recommendations to other developers in the team.
Responsible for bottleneck isolation using Application Performance monitoring tools such as DataDog, Dynatrace, NewRelic, Splunk or similar tools.
Generate periodic test reports showing performance test results compared to the target performance goals.

What We Expect From You

Bachelor’s Degree, Computer Science, Engineering or related preferred
7+ years of Performance testing experience in a web application environment, testing User Interfaces, backend databases, Web services, APIs, Batch/ETL application components. Experience in creating and implementing performance test methodologies and processes.
5+ years of hands-on scripting/coding experience with Jmeter, Blazemeter, Gatling/Scala, or other similar tools which uses object-oriented programs
3+ years of experience using one or more Application performance monitoring tools (DataDog, Dynatrace, NewRelic, Splunk etc)
2+yrs of hands-on experience load testing REST Api's
Prior experience in a Continuous Integration/Delivery/Testing (CI/CD/CT) environment supporting weekly or daily deployments
Should have a very good understanding of various application tiers and middle-ware in a web-based development environment.
Exposure to incremental agile software development methodologies. Prior experience working closely with Developers and Architects in solving software performance issues.

Requirements

Performance Testing, JMeter, Blazemeter, Datadog, Dynatrace, REST API, Continuous Integration / Continuous Delivery (CICD), Continuous Delivery, Middleware Application
 
[",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3czIN59FmPNVIAKdmCfvEilM=
Senior Software Engineer,,Remote,,"Qualifications
 
· Minimum of 3+ years experience developing computer software
· Minimum of 3+ years experience using ASP.NET with C#
· Minimum of 3+ years experience using Javascript, HTML and CSS
· Minimum of 3+ year experience with Microsoft SQL Server
 
Skills/ Experience Required
 
· Knowledgeable with software development and testing methodologies. Working experience of Agile or Scrum preferred.
· Proficiency with C# required, including LINQ and proficient knowledge of .NET Framework 4.x and working knowledge with .NET Core
· Proficient with ASP.NET MVC, Web API (Rest API) and WCF Services
· Excellent knowledge of Microsoft SQL Server 201X and proficiency with TSQL
· Proficient with Visual Studio 2015+ and working knowledge of IIS 8.x and later versions
· Excellent knowledge of HTML and CSS
· Excellent knowledge of JavaScript and Ajax and jQuery
· Working knowledge of Angular and typescript
· Ability to effectively communicate, coordinate and work with other team members
· Desire to innovate with new technologies and collaborate with a like-minded team
· Proficient with version control tools (TFS source control/git) and code management best practices
· Health insurance or general healthcare experience preferred",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3czRpeh0l9VDqI5axziZSUEw=
Android developer,,Remote,,"I'm seeking a mid/senior Android contractor with experience building apps. The project is an app that helps companies to manage communications and documents in a niche industry. Toolkit is in Kotlin. The work is keeping the application up to date, adding new features, and resolving technical debt. Remote work with occasional scheduled zoom meetings each week in the East Coast time zone. 40 hours/week but working hours are flexible. 3-6 months duration with possibility of further extensions. Start is immediate (but interviews and signing contracts may take a week or two).",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c-o7lFm2YoP27YoX8NLCfWk=
NCDOT - Specialist- Senior,,"\nRaleigh, North Carolina, United States",,"NCDOT is seeking a Specialist to provide testing support with the DOT IT Enterprise Testing Team. The support consists of software testing of new releases/upgrades to applications developed by DOT IT for deployment***The candidate will be allowed to work remotely until all staff return to site. At that point the candidate will be required to come onsite. ***While the candidate is working remotely he or she will need to use his or her own equipment with a remote desktop from DOT.***The max rate for the position is XXX.NCDOT is seeking a Specialist to provide testing support with the DOT IT Enterprise Testing Team. The support consists of software testing of new releases/upgrades to applications developed by DOT IT for deployment.• Review and analysis of project requirements for clarity, understanding and testability• Development of system test plans and manual test cases• Execution of the test cases and test scripts• Defect management and reporting• Providing input or creating testing artifacts to include but not be limited to:  Test Plans, Test Results, Metrics and Defect Reports• Providing weekly status reports to ManagementRequired/Desired SkillsSkillRequired /DesiredAmountof ExperienceExperience testing business web applications and complex business applications across technologiesRequired7YearsExperience in designing test plans, manual test case definition and test case execution, review and analysis of project requirementsRequired7YearsExperience with HP Testing Tools Suite (ALM, UFT, LoadRunner/Performance Center and SiteScope)	Required7YearsExperience with Mainframe/DB2 for performing Data ValidationsRequired7YearsDevelopment of complex LoadRunner scenarios within Performance Center and analysis of performance test results including compiling analysis reports Required7YearsStrong Microsoft Suite experience (Word, Excel, PowerPoint, Visio)Required7YearsAbility to learn complex business functions	Required7YearsExperience testing ChatBot or IVR applicationsHighly desired2YearsQuestionsNo.QuestionQuestion1Absences greater than two weeks MUST be approved by CAI management in advance, and contact information must be provided to CAI so that the resource can be reached during his or her absence. The Client has the right to dismiss the resource if he or she does not return to work by the agreed upon date. Do you accept this requirement?Question2Please list candidate’s email address.
Question3Please indicate how soon this candidate is available to start work. Vendors are encouraged to submit candidates that are available for the duration of the assignment.Question4Vendor must disclose to the agency if the candidate will be subcontracted at the time of submission. Do you accept this requirement?Question5Vendor must notify the agency if any portion of the requirements listed in this task order is to be outsourced to other countries. Do you accept this requirement?Question6Candidates submitted above the rate of XXX will not be considered. Do you accept this requirement?
Question7Payment for all approved hours will be paid at the straight hourly rate regardless of the total hours worked by the engaged resource. It is the responsibility of the supplier to adhere to any applicable compensation laws including payment for overtime hours. Do you accept this requirement?Question8Please confirm you have thoroughly validated, and attest to the accuracy of, the credentials listed throughout this candidate’s VectorVMS profile and resume pursuant to Section 5.2.5 of ITS-009440. Do you confirm?
Question9This position requires that, if selected for the role, candidate agrees to comply with EO224-COVID-19 Guidelines. Do you accept this requirement and affirm you will share this requirement with your candidate and have obtained confirmation that your candidate will comply with these guidelines? Pls reply YES or NO",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c8m6WpOVA2gMVRx-CJQ_j0I=
NC FAST Agile Scrum Master/Kanban FlowMaster,,"Durham, North Carolina, United States",,"NC FAST requires the services of an experienced Scrum/Flow master to work in various agile frameworks such as Scrum, Kanban, and support NC FAST vision to move towards SAFe framework. The scrum master or Kanban flow master coaches and advises the teams as well as leadership on desired Scrum processes, procedures, values, and interactions as well as opportunities for continuous improvement. This role strives to enabling teams to become self-organizing, cross-functional, and accountable while assisting them to achieve their Sprint plan by facilitating Scrum/Kanban/SAFe events, removing impediments, and resolving issues outside of the team's control. Resource will lead the planning and execution of development and delivery of efforts for one or more products to a high standard. Resource must be coachable, and knows how to work with Product Owners, Scrum/flow Masters, Developers, and Stakeholders. This role must execute and follow the Agile transformation strategies laid out by the Agile Transformation Coach and transformation team, work as a good team player to enable understanding, learning and behaviors in an Agile way that drives customer and business value while creating a healthy Agile team culture. This position will be responsible for managing and assisting with requirements gathering, design, development, and implementation of the Cúram/Java web-based software application on n-tier infrastructure, interfacing with various internal and external applications on variety of platforms.This position will use Agile (Scrum, Kanban) principles to understand and execute resolution of backlog items by working closely with the Product Owner(s) and the project team(s), ensuring deliverables reflect requirements, are effective solutions and are delivered with quality. This position plays a key role in resolving business and team conflicts with active involvement in technical matters, finding gaps and ensuring Product Owner involvement in business decisions and description of the business flow. This role must demonstrate a high level of expertise in understanding and estimating work effort, collaborating to refine prioritized backlogs, facilitating Scrum ceremonies or Kanban events, and related aspects of Agile methodology. Required/Desired SkillsSkillRequired /DesiredAmountof ExperienceStrong organization and analytical thinking skills with experience turning complex business needs into user scenarios, flows, and diagrams.
Required7YearsStrong experience understanding and implementing Agile values, principles, and practices (i.e., Kanban, Scrum) based on Team's maturity.
Required7YearsStrong hands on experience with tools like MS Project, MS Excel, MS Word, MS PowerPoint, and SharePoint.
Required7YearsExperience working with stakeholders for backlog item prioritization, grooming, and understanding of epic/stories/tasks Required7YearsExperience with JIRA to create/enhance dashboards, monitor progress of sprint/work flow, and providing statuses in timely manner.Required7YearsDemonstrated experience working on multiple priorities and/or projects simultaneously without impact to quality of work.
Required7YearsExperience with work breakdown and estimation, sprint planning, monitoring progress and removing impediments to deliver solutions for business needs.Required7YearsStrong experience using facilitation and communication skills with both technical and non-technical audiences.
Required5YearsStrong experience using risk and business impact analysis and reporting skills.Required7YearsExperience in gaining buy-in and support from stakeholders
Required4YearsExperience managing, maintaining, and analyzing data to derive meaningful and actionable insights about the portfolio.
Required4YearsDemonstrated experience using effective leadership, interpersonal and conflict resolution skills.
Required4YearsDemonstrated experience working with planning just enough, just in time to START moving forward.
Required4YearsCertified Scrum Master or Kanban certification
Required0Certified SPC or SAFe agilist in SAFe transformationDesired0Knowledge of DevOps practices
Highly desired0Experience with setup, tracking, monitoring flow and reporting in Jira
Required2YearsExperience with JIRA Align and Portfolio Planning
Highly desired2YearsQuestionsNo.QuestionQuestion1Absences greater than two weeks MUST be approved by CAI management in advance, and contact information must be provided to CAI so that the resource can be reached during his or her absence. The Client has the right to dismiss the resource if he or she does not return to work by the agreed upon date. Do you accept this requirement?
Question2All work must be completed on site once Covid-19 is contained. Do you accept this requirement?
Question3Please list candidate's email address HERE that will be used when submitting E-RTR.
Question4Looking for immediate hire. Please indicate how soon this candidate is available to start work. Vendors are encouraged to submit candidates that are available for the duration of the assignment.
Do you accept this requirement?Question5Vendor must disclose to the agency if the candidate will be subcontracted at the time of submission. Do you accept this requirement?
Question6Vendor must notify the agency if any portion of the requirements listed in this task order are to be outsourced to other countries. Do you accept this requirement?
Question7Candidates submitted above the bill rate of XXX will not be considered. Do you accept this requirement?
Question8Please confirm you have thoroughly validated, and attest to the accuracy of, the credentials listed throughout this candidate’s VectorVMS profile and resume pursuant to Section 5.2.5 of ITS-009440. Do you confirm?
Question9Please provide candidate's current location (City and state)",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c-PDSJKlj4HFC-wJVmm7vPI=
Data Engineer Lead,,"Kansas City, Missouri, United States",," 5+ years of demonstrated experience in object or functional programming languages – Python, PySpark • 3+ years of proven experience with AWS services including CFT, S3, Lambda, IAM, EMR, and KMS • 3+ years of hands-on engineering experience implementing data pipelines via methods such as ETL, ELT, EL/TL, DaaS, Data Lake, or ODS • 3+ years of experience using SDLC and Agile • 3+ years of experience with RDBMS Technologies such as MySQL, Postgres, and MSSQL • 3+ years of ESB/Messaging/Integration tools such as Kafka or SQS • Proven track record of leading and mentoring in a multi-functional collaborative team environment including varied business units, vendors, countries and cultures Desired Experience: • Architecture – Event Driven Design, APIs, Micro services, stateless/chaos • Experience with advanced analytics tools and languages such as R, Python, Java, SAS, and others • Test automation design and implementation experience • Experience with ETL tools such as Informatica, TSQL, SSIS, or Matillion • 1+ years of data visualization with tools such as Tableau, or QuickSight • Experience in working with financial product datasets • Experience working in a SSAE 16 or similar level of controls environment • DevOps experience with Git, build, artifact/package management, and deploy automation. Preferred Experience: • Experience in data modeling, schema design/development, and dimensional modeling • AWS Certification and/or TOGAF Certification • Experience designing, deploying, and supporting production cloud services in AWS ecosystem including EC2, Kinesis, ECS, ELB",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3cwlgcDGz-KP4w2dxe7tw0Zs=
Java & Cloud Lead,,"San Francisco, California, United States",,"Skills:

8 years Object Oriented programming experience preferably in Java
5+ years of experience in Java SpringBoot development
3+ years of experience with Docker containers
Minimum of 3 years’ experience working with Cloud Data Platforms especially AWS
Expertise with Amazon Web Services (AWS) – ECS, Fargate, S3, RDS, Athena, etc.
Experience in integration technologies (e.g. SOA/ Web services: REST, SOAP, XML, JSON, Messaging, File Transfer) 
Experience in web technologies (e.g. HTML, CSS, JavaScript). Javascript frameworks like Angular, React, Ember, Polymer, Backbone or similar.
Experience with GIT Version Control Systems.
AWS Certification is a plus
Experience with development in a multi-tiered release environment and Continuous Integration
Experience and knowledge of Salesforce.com - custom Lightning and Apex development is a plus
Mulesoft experience is nice to have.
Excellent written and verbal communication skills 
Demonstrate customer focus and proven ability to work in fast paced environment
Ability to lead development teams both onshore and offshore
Skills Experience in BioTech/Pharmaceutical industries desirable though not required
Bachelor degree in Computer Science, Engineering or relevant field.
",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c1iN24nY6gtKRh0IfsEFkLQ=
Technical BA,,"Universal Cty, California, United States",,"Job Responsibility 
Identifying gaps and similarities between 2 platforms
Determining the requirements to combine data into one model
Publishing and/or presenting design reports
Identifying areas for improvement in current systems/ what it will take for current system to get to combined state
Create conceptual Data Model
Assess and Alert data separation and security.
Coordinating with other team members to reach project milestones and deadlines working with staff PM
Data Quality Assurance / Pre-UAT Signoffs
Implement new IT operations into the company from the initial idea to the project completion*
Draft statistical reports that assist decision-makers in choosing the right programs*
Manage technical difficulties, working with developers when necessary* 
 
Business Analytics from leading business school
Conceptual Data modeling experience 8+ years
SQL experience for QA/Pre-UAT - 3+ years
Cloud Infrastructure experience - 5+ years",https://infostride.com/job-openings/?job_id=z5G7h3l6a1kMvyS65NP3c2DpYGHwZwcVtubQddomfYo=
