Name of the role,Department,Location,Job type,Job description,URL
Interns / Campus Recruitment (India),Intecrowd India,India,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
We are looking for the Students who are:
1. 2020 & 2021 passouts, without any backlogs & also who are ready to join ASAP.
2. They should be either from Computer Science / Information Science branch (BE / B.Tech / MCA / M.Sc / BCA / B.Sc)
3. Who have scored 60 percent & above in the Final / Annual semester
4. With good Oral & Written Communication skills in English language.
5. Willing to join as 'Interns' with our firm & do the Workday certifications - (We provide the training & certifications)
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011419005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Technical Services Team Lead ,Professional Services,United States,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
This remote role can be located anywhere within the U.S. or Canada to perform the required responsibilities.
KEY FUNCTIONAL EXPECTATIONS

Provide expertise in Workday Integrations. Ability to scope integration projects based on client requirements. Determine the required architecture and consulting level of effort as well as resource efforts.
Serve as a lead in the following integration lifecycle activities: gather and document client business requirements, design and configure the Workday solution, demonstrate integrations built during the development and prototype stage, assist in testing the Workday solution, and complete knowledge transfer to clients.
Advise functional resources in configuring functional BPs or objects for which integrations share dependencies.
Facilitate clients’ adoption of Workday best practices. Contribute to the development of Intecrowd’s implementation lifecycle and post-production support model.
Embody Intecrowd and Workday’s high client satisfaction expectations.
Innovate and suggest new approaches and tools to deploy Workday efficiently and effectively.
Provide status reports to project managers that highlight risks to project health and improvements in client adoption.
Maintain Workday certifications and qualifications. Serve as an active member of Workday’s ecosystem, qualifying as a product lead.

 KEY MANAGERIAL EXPECTATIONS

Manage 3 – 5 direct reports to achieve quarterly objectives and utilization.
Identify opportunities for new business among existing clients.
Foster a culture of proactive communication, escalation, and responsiveness.
Collaborate and communicate effectively and synergistically on team-based projects
Contribute to and mold a culture of continuous education among your colleagues, mentees, and managers. Mentor, train, and develop new and experienced consultants. Instruct peers and team members on product knowledge/best practice.
Resolve, or provide structure to, complex tasks/requirements when other team members need support.
Develop and present original, actionable ideas regarding process improvement, management tactics, and technical delivery.
Demonstrate computational thinking. Identify problem components, analyze patterns, remove inefficient configurations or processes, and construct algorithmic solutions scalable to ongoing client needs.
Serve as a professional role model.

DESIRED SKILLS AND EXPERIENCE

Workday Integration Certification required
2+ years implementing Workday integrations
Previous managerial or team development role.
Knowledgeable of consulting KPIs, including utilization, forecasting, billable rates and margins, indirect labor and overhead, as well as profit and loss concepts.
Previous consulting experience with a consulting/software company.
Previous experience deploying Workday.
Demonstrated integration lead experience.
Proven track record in providing exceptional customer service.
Ability to effectively manage against timelines and goals.
Excellent verbal and written communication skills.
Business analysis and requirements gathering abilities.
Ability to learn technology quickly through instruction and self-training.
Experience leading multiple integration projects simultaneously.
Ability to travel as needed.

 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4107707005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday Certified Reporting Consultant ,Application Management Services,United States,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
Job Description
As a Workday Certified Reporting Consultant, you will ensure successful deployment by architecting, configuring and testing the Workday HCM and Financial solution through the means of custom reports and dashboards to meet the specific needs of the client. 
This remote role can be located anywhere within the U.S. to perform the required responsibilities.
KEY EXPECTATIONS

Complete Workday Financials Core or Human Capital Management (HCM) Core, Practical, and Advance Reporting certification with the goal of becoming an expert in this module.
Perform the following as a member of a deployment team: understand client business requirements, design and develop custom reports, demonstrate configurations through the use of calculated fields, assist in testing the Workday solution, and complete knowledge transfer to clients.
Work with client/data conversion team to convert legacy data into Workday securely.
Ensure solutions are compatible with downstream data translation (assist integrators in configuring/testing integrations between Workday and external systems).
Facilitate clients’ intellectual and practical adoption of Workday best practices.
Embody Intecrowd and Workday’s high client satisfaction status.
Provide insightful status reports to project managers, keeping them apprised of overall project status.
Maintain Workday certifications and qualifications.
Communicate clearly and concisely. Collaborate effectively and synergistically to team-based projects.
Contribute to and mold a culture of continuous education among your colleagues, mentees, and managers. Serve as an active member of Intecrowd’s knowledge sharing environment.
Strive to innovate and suggest new approaches/tools to deploy Workday efficiently and effectively.
Demonstrate computational thinking. Identify problem components, analyze patterns, remove inefficient configurations or processes, and construct algorithmic solutions scalable to ongoing client needs.

DESIRED SKILLS AND EXPERIENCE

Current Workday Reporting Certification
2+ years of Workday Financials or HCM experience or relevant industry experience.
Experience developing and implementing analytics and data insights.
Previous consulting experience with a consulting/software company.
Previous experience deploying Workday, SAP, Oracle, PeopleSoft, ADP or similar applications.
Proven experience with at least 1 functional area

Core Financials: FDM, Accounting, Budgets, Planning/Adaptive, Banking and Settlement, Financial Reporting
Spend: Suppliers, Procurement, Assets, Expenses
Revenue: Customers, Projects
Core HCM: HCM, Compensation, Absence, Time Tracking, Payroll, Benefits, Talent and Performance, Learning


Passion for providing exceptional customer service.
Ability to effectively manage against timelines and goals.
Excellent verbal and written communication skills.
Business analysis and requirements gathering abilities.
Ability to learn technology quickly through instruction and self-training.
Experience deploying multiple Financials projects simultaneously is highly valued.
Expected travel is +/-30% depending on project, pending health and safety travel regulations.

 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011395005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday Assistant Consultant (Australia) ,ANZ,Australia,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
MUST BE BASED IN SYDNEY OR MELBOURNE AND HAVE A VALID AUTHORISATION TO WORK IN AUSTRALIA
Job Description:
As a Workday Assistant Consultant, you will work closely with other consultants to gain proficiency and expertise in Workday technology. Responsibilities include configuring software,troubleshooting and resolving important business processes and analytical issues, and developing professional relationships with clients.
Desired Skills and Experience:

Bachelor’s Degree in Analytics, Information Systems, Math, Computer Science, Finance, Accounting, Engineering, Human Resources, or Business preferred, but not required.
Strong attention to detail and execution
Strong written and verbal communication skills
Strong analytical and problem-solving skills
Ability to work independently with minimum supervision and collaboratively in a team
Ability to work under tight deadlines while managing multiple tasks
Passion for Customer Service
Participates in extracurricular activities (academic clubs, volunteer events, sports, etc.)while balancing an academic course load

Knowledge and Skills You Will Develop:

Obtain Workday certification in Workday Financials, Human Capital Management (HCM), or Integrations as well as any additional certifications deemed necessary
Identify, design, and implement process improvements for greater scalability, optimizing data delivery, business insights, and efficiencies, and automating manual processes.
Collaborate with clients to identify and resolve business-impacting issues while facilitating clients’ intellectual and practical adoption of Workday best practices
Partner daily with other Intecrowd colleagues and clients to ensure seamless process delivery and high client satisfaction status
Manage and effectively prioritize work while supporting multiple projects simultaneously

Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011437005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Any Open Position (India),Intecrowd India,India,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
This remote role can be located anywhere within the India to perform the required responsibilities.
This opening is for candidates who:

Would like to apply to Intecrowd but cannot identify a job opening appropriate to their skills.                                            OR
Have been requested to apply for this specific opening.

 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011417005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Directed Application,Professional Services,North America,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
These Workday job openings should only be used by individuals directed to apply for the following positions by an Intecrowd employee or affiliate.
HCM Consultants
Advanced Compensation Consultants
Payroll Consultants
Time Tracking Consultants
Absence Consultants
Financials Consultants (i.e., Fin Acct, Suppliers, Procurement, Inventory, Cash Management, Budget Leads, Expenses, etc.)
Recruiting Consultants
Security (Focused) Consultants
LMS Consultants
WD Reporting Consultants
Project/Engagement Managers
Integrations Consultants (Studio, BIRT, CCTPP, CCB, etc)
AMS Support
Data Conversion Consultants
and much more......
 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011386005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday Reporting Consultant ,Application Management Services,Poland,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
Why Work for Intecrowd?

Remote Work
Collaborative atmosphere
Rapid growth opportunities
Extensive job and leadership training
World-class benefits and pay
Extraordinary culture
Workday certifications - only available to a few companies
Life-long career opportunities

Who are we Looking For?
Self-Starters - people who go above and beyond what is asked of them and see themselves as “go‑getters”
Team Players- people who thrive in a collaborative environment and enjoy working with others
Problem Solvers – smart individuals who can applies analytical and methodical thinking to resolve issues
Life-long Learners – people who will continually grow and adapt to our ever-changing technical and business environment
Leaders – team members who demonstrate the leadership potential and intelligence to take leadership roles in a rapidly growing business
Job Description:
Job Title: Workday Reporting Consultant
Location: Remote
Contract of Employment: Full-time
Reporting consultants meet with client stakeholders (remotely or in person) to define requirements for reports and dashboards that will assist business analysts, managers, and executive leaders understand their current workforce and/or financials and streamline regulatory reporting efforts. Reporting consultants are also responsible for owning the Reporting Development Life Cycle (RDLC) which includes (but are not limited to) development, testing, and deployment of reports and analytics.
This role requires Workday certification. Intecrowd will provide internal training and send Reporting Consultants to Workday certification. People with a variety of applicable career experience levels will be considered, and compensation will be commensurate with that experience. Written and spoken English language skills are required. 
Successful candidates will have most of these qualifications:

Comfortable or fluent speaking English
Good English writing skills
Friendly in-person demeanor
Ability to tactfully ask detailed questions and remember answers
Ability to lead a meeting through an agenda
Ability to think logically
Strong desire to learn
Strong Excel skills including knowledge of pivot tables, Excel formulas, etc.
Familiarity with other analytical tools such as Power BI, Tableau, etc.
Ability to rapidly acquire knowledge from a large amount of information
Ability to work independently and remotely with people in other time zones
Willingness to work whatever time is necessary to meet or exceed project deadlines
Ability to travel up to 30% of the time

Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011454005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday AMS Integrations Consultant ,Application Management Services,United States,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
This remote role can be located anywhere within the U.S. to perform the required responsibilities.
At Intecrowd, we take AMS to a new level.  Seen as more than a help desk, we strive to drive value to our clients by becoming a strategic partner to maximize the effectiveness of their systems.  As an AMS Integrations Consultant, you will be responsible for providing technical and strategic support for our client’s Workday technology by delivering innovative ideas and effective solutions.  
 KEY EXPECTATIONS

Become a hands-on subject matter expert in the Workday product suite, specializing and deepening your skill set within one or more technical areas.
 Build an excellent rapport with AMS clients, guiding and assisting them on getting the most from their Workday deployment. 
 Work directly with clients to analyze and document problems, recommend solutions, initiate corrective actions, follow up on problem resolution and inform customer of status.
 Maintain clients’ ongoing satisfaction, ensuring Intecrowd is a reputable and reference-able partner.
 Manage multiple, parallel assignments using exceptional organizational and time management techniques to successfully complete tasks in a timely manner.
 Communicate clearly and concisely. Collaborate effectively and synergistically within designated teams.
 Strive to innovate and suggest new approaches and tools to deploy Workday efficiently and effectively.
 Facilitate clients’ intellectual and practical adoption of Workday best practices.
 Contribute to and mold a culture of continuous education amongst your colleagues, mentees, and managers - serve as a professional role model. 
 Maintain Workday certifications and qualifications.

  DESIRED SKILLS AND EXPERIENCE

Workday Integrations Certification required
Workday Studio certification or Studio experience preferred
Workday BIRT Report Design experience preferred
1 – 3 years of technical experience with object-oriented programming, service-oriented architecture design principals, typical ERP/HCM integration design patterns, phased implementation methodologies, knowledge of various integration technologies
1 – 3 years of HCM/ERP software application experience with EDI, Web Services, SOAP, REST, XML, XSLT, Java, .Net or other integration technologies
1 – 3 years integrating systems with third-party service vendors
Willingness to advance technically and earn additional Workday certifications
Ability to work in a fast-paced environment and to adapt to frequent change
Ability to self-manage work across multiple assignments and conflicting client priorities
Experience defining requirements and creating estimates for small to medium sized integration efforts
Ability to support multiple customers effectively
Progressive analytical and technical skills evidenced by playing a role in a project or in a support environment
Experience deploying multiple projects simultaneously a plus
Passion for providing exceptional customer service
Excellent verbal and written communication skills
Previous consulting experience with a consulting/software company a plus
Bachelor’s Degree (or higher) with a focus in technology is preferred

 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4118621005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday AMS Consultant ,Application Management Services,United States,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
At Intecrowd, we take AMS to a new level.  Seen as more than a help desk, we strive to drive value to our clients by becoming a strategic partner to maximize the effectiveness of their systems.  As an AMS Staff Consultant, you will be responsible for providing functional and strategic support for our client’s Workday technology by delivering innovative ideas and effective solutions.
This remote role can be located anywhere within the U.S. to perform the required responsibilities. 
 KEY EXPECTATIONS
• Become a hands-on subject matter expert in the Workday product suite, specializing and deepening your skill set within one or more functional areas.• Build an excellent rapport with AMS clients, guiding and assisting them on getting the most from their Workday deployment • Work directly with clients to analyze and document problems, recommend solutions, initiate corrective actions, follow up on problem resolution and inform customer of status.• Analyze and configure tenants based on client requirements or to resolve issues, test configuration and deploy.• Maintain clients’ ongoing satisfaction, ensuring Intecrowd is a reputable and reference-able.• Manages multiple, parallel projects using exceptional organizational and time management techniques to successfully complete tasks in a timely manner.• Communicate clearly and concisely. Collaborate effectively and synergistically within designated teams• Strive to innovate and suggest new approaches and tools to deploy Workday efficiently and effectively• Facilitate clients’ intellectual and practical adoption of Workday best practices• Contribute to and mold a culture of continuous education amongst your colleagues, mentees, and managers - serve as a professional role model. • Maintain Workday certifications and qualifications
DESIRED SKILLS AND EXPERIENCE
• 2 – 5 years of technical support/functional experience in Workday, SAP, Oracle, PeopleSoft, ADP or similar application with a concentration in requirements, process analysis and documentation with demonstrated customer-facing skills in the understanding and implementation of business requirements• Ability to support multiple customers effectively• Progressive analytical and functional skills evidenced by playing a role in a project or in a support environment• Experience deploying multiple projects simultaneously a plus• Passion for providing exceptional customer service• Ability to effectively manage against timelines and goals• Excellent verbal and written communication skills• Previous consulting experience with a consulting/software company a plus• Business analysis and requirements gathering abilities• Ability to learn technology quickly through instruction and self-training
 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4011391005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
Workday Certified Integration Consultant ,Professional Services,United States,,"
Founded by former Workday clients, we value partnership and engagement as a cornerstone of our business. With years of functional and technical experience in all phases of Workday's deployment life cycle, we can determine and the most efficient integration designs and rapid deployment strategies. We develop maintainable solutions and provide support for integration testing and updates for new Workday releases.
The ideal candidate for the Workday Certified Integrations Consultant position helps to bridge the gap between business and technical teams. You will bring your technical skills, ability to keep the business context in sight, and roll-up-your-sleeves work ethic to a team with a positive, can-do attitude, a collaborative culture, and a passion for helping our customers to be successful.
People in our Integrations Services career track drive delivery and capability excellence through the design, development and/or delivery of a solution, service, capability, or offering. They grow into delivery-focused roles and can progress within their current role, laterally or upward.
This remote role can be located anywhere within the U.S. to perform the required responsibilities.
Certified Workday Integration Consultant
Key Responsibilities:

Work on client engagements as a contributor; may lead small projects
Build and maintain relationships with implementation teams
Keep Engagement Managers and stakeholder teams apprised of overall project status
Mentor junior consultants and/or lead teams
Provide input on delivery estimation and resource planning to business leads where required
Lead discovery sessions with customer subject matter experts across various technical integration areas in delivering high-level design documentation
Manage competing priorities
Provide feedback internally on project/product where areas of improvement are identified
Advise customers on adoption of Workday integrations and security best practices
Ensure the client is referenceable once the client is in production
Participate in update training and other events that help share one’s integration & product skills with other consultants
Use field experience and product expertise to support our pre-sales organization in talking with prospective customers
Assist in building ongoing relationships with customers to promote Intecrowd’s continued growth and success

 Qualifications:
 Basic Qualifications

Current Workday Integration Certification + at least 1 additional integration certification (Studio, CCTPP, CCB, Fin Int) Required
Hands on experience implementing Workday integrations, post production support, or technical and/or functional consulting experience
2+ years of HCM/ERP software application experience with EDI, Web Services, SOAP, REST, XML, XSLT, Java, .Net or other integration technologies
3+ years integrating systems with third-party service vendors
Previous consulting experience with a consulting/software company
Experience with other HR Technology tools
Experience and understanding of Human Resources data
Business, Process, and Data Analysis skills
Excellent communication and interpersonal skills
Good negotiation and facilitation skills
Ability to work proactively and independently within a project framework
Willingness to advance technically and earn additional Workday certification

Preferred Qualifications

Strong interest in collaborative work with clients
Proven ability to work within a team-oriented environment
Proven ability to work creatively and analytically in a problem-solving environment
Ability to operate effectively in a dynamic, growing, ecosystem with minimal supervision
Excellent communication (written and oral) and interpersonal skills
Bachelor’s Degree (or higher) with a focus in technology or relevant work experience

Working Conditions: 

Remote work with occasional onsite customer and/or internal business travel
Shifts and/or schedules may change throughout the year/tenure as dictated by management and business needs 
May be required to sit and review information on a computer screen for long periods of time. 
May require repetitive motions of the hands and wrist related to writing and typing at an electronic keyboard. 

 
Employer’s Rights:
Intecrowd has the right to revise this job description at any time. This job description is not a contract for employment. This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.
Equal Opportunity Statement:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or status as a Vietnam or disabled veteran.
Applications for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Intecrowd.
",https://boards.greenhouse.io/embed/job_app?for=intecrowd&token=4001955005&b=https%3A%2F%2Fintecrowd.com%2Fcareers%2F
