Name of the role,Department,Location,Job type,Job description,URL
Enterprise Customer Success Manager,Customer Success,New York City,Full-time,"RapidAPI is the world’s largest API hub and the company that is building the next-generation API platform for Enterprises. We enable developers and businesses to easily discover, test, and connect to any API, making it easier to create new software and services more rapidly. RapidAPI is used by millions of developers around the world and offers more than 40,000 APIs on the marketplace. Funded by a16z, Microsoft’s M12 and SoftBank Vision Fund 2, RapidAPI is experiencing rapid growth, fueled by an increase in the number of developers and companies using our platform.The Enterprise Customer Success Manager is responsible for partnering with all aspects of the customer’s organization, which includes executives, engineering, business owners, legal, and others. Skills required to build relationships across an account include creative thinking, articulating a clear vision and generating enthusiasm, to impact all business groups. The Enterprise Customer Success Manager is responsible for driving success at the most strategic level within the account and implementing a broad strategy for earning customer acceptance across the organization. The Enterprise Customer Success Manager works with many internal RapidAPI teams, including Technical Account Management, Sales, Executives, Marketing and Support to support customer interests, and will understand how to strongly advocate for their customer and balance that with the business needs of RapidAPI. Development of formal case studies and other forms of references highlighting successful implementation and adoption of RapidAPI is core to the role.YOU WILL:Partner with our customers to deliver outsized returns on their investment in RapidAPI software, by delivering, measuring, and communicating ROI throughout the customer lifecycleLead and be accountable for retaining and expanding the customers within your portfolio Be the trusted partner for customers on use-cases and product functionality, in partnership with Technical Account ManagersAccurately represent the voices of customers inside RapidAPI, ensuring the health of customers is properly captured, and making their voices heard as appropriateWork with customers to build and execute a success plan that establishes critical goals,  and key performance indicators for their use of the RapidAPI Hub, while also using this information to keep internal RapidAPI stakeholders informed on account health Build strategic customer relationships and deliver Executive Business Reviews to business stakeholdersWork cross-functionally with Engineering, Sales, and Product, to deliver best-in-class service to your customersBe an expert in our products - capable of delivering meaningful recommendations, troubleshooting, demonstrations, etc.Be the primary point of contact for your customers, working with stakeholders at multiple levels, focusing on the customer leadership teamsYOU HAVE:5+ years of experience working at a technology company as the account and relationship manager to Fortune 1000 companies 3+ years of experience managing customer renewals and upsellsExtensive experience driving change management and user adoption across technical user groupsComfortable with APIs and knowledgeable about the various types (Rest, SOAP), authentications patterns, different Gateways, and can speak intelligently about themExcellent communication skills. Ability to set expectations and communicate goals and objectives with customers at various levelsSkilled at multi-tasking, can juggle competing priorities while making sound business decisions based on goals and objectivesExperience working independently and interfacing with other business units - Engineering, Sales, and Product to drive customer's initiatives and projectsExperience with the SaaS model, platforms and services, their adoption, integration, and ongoing useThis is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/56a76bc6-d65b-4d8e-a73c-e20119487716
"Enterprise Account Executive, United Kingdom",Sales,Remote EU,Full-time,"RapidAPI is the world’s largest API hub and the company that is building the next-generation API platform for Enterprises. We enable developers and businesses to easily discover, test, and connect to any API, making it easier to create new software and services more rapidly. RapidAPI is used by millions of developers around the world and offers more than 40,000 APIs on the marketplace. Funded by a16z, Microsoft’s M12 and SoftBank Vision Fund 2, RapidAPI is experiencing rapid growth, fueled by an increase in the number of developers and companies using our platform.GENERALWe are seeking a hardworking, driven individual with superb energy, passion and initiative for new business acquisition in the Enterprise market. The RapidAPI Enterprise Account Executive will be one of the first to join our Enterprise Sales team in the United Kingdom. The Enterprise Account Executive role focuses on formulating and executing a sales strategy within an assigned territory, resulting in revenue growth and new customer acquisition. A successful RapidAPI Account Executive will be a key driver of RapidAPI’s high growth in a new and large Enterprise SaaS market.With RapidAPI’s year over year growth, now is the perfect time to join RapidAPI’s sales team. This is an outstanding career option for an enthusiastic sales professional looking to further their career in a fast paced dynamic environment while also being part of a rapidly growing start-up.This position reports to the Regional Vice President of Enterprise Sales.  YOU WILLManage the entire sales process to ensure delivery against key performance metrics, with a strong emphasis on new business sales.  Identify goals and needs/requirements of prospects and clients, including budgetary constraints and key decision makers.Gain an in-depth and detailed understanding of RapidAPI’s business and products to confidently sell to Fortune 1000 companies.Engage with prospect organizations to position RapidAPI solutions through strategic value based selling, business case definition, return on investment analysis, references and analyst data.  Develop and manage a strong pipeline through a combination of customer engagements, marketing campaigns and market sector knowledge/intelligence.Create effective presentations and proposals.Negotiate pricing and contractual agreements.Provide account analysis and accurate revenue forecasts.Work closely with internal teams to ensure clients’ success/satisfaction.Meet/Exceed individual targets and contribute to the overall team and company success.Travel may be required (do what you need to do to close the deal).YOU HAVE7-10+ years of quota-carrying software technology sales; 3+ years selling to enterprise companies with a focus on new business sales.  Entrepreneurial mindset with proven success working for both large and small companies. Passionate about communicating value to senior stakeholders and developing creative customer solutions.  Possess a hunter sales mentality with a strong desire to be successful, and have a proven track record of overachievement and exceeding sales targets.Ability to learn and establish credibility quickly with all levels of buyers at an Enterprise. High IQ, EQ and self-awareness.Customer-focused with extensive experience building customer relationships within multiple business units and managing prospects through complex product evaluations.   A demonstrable track record of success managing the end-to-end sales process and engaging with all levels from end users to business champions to C-level executives. (Experience selling to CIO/CTO/VP of Engineering leaders at Fortune 1000 companies a plus).Strong ethics and company orientation: Passionate about growing your career in a fast  growing start-up environment, and contributing to RapidAPI’s company mission and vision.History of extensive and consistent new account penetration; creative prospecting skills leading to strong, predictable pipeline development.Excellent communication skills; listening, writing, presenting, sales closing, and use of CRM tools.Deep curiosity combined with analytical skills. Must live in territory (United Kingdom, London preferred).This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/7672b85e-5492-48e0-aa7d-850040bd4bbc
"Governance, Risk, and Compliance Manager",Operations,San Francisco,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.Our innovative, entrepreneurial and technology-driven culture often forces us to challenge the traditional definitions of Information Governance. We are here to make a difference, to change the way in which the security, privacy, and availability of data is reliable and communicated to Customers, Regulators, and ourselves.  We want to redefine Data Security and Privacy.  This makes RapidAPI an uncomfortable space for some, but a haven of innovation for those who care and are passionate about creating and redefining experiences for our community of developers, enterprise customers, and ourselves.We are looking for an experienced Governance, Risk, and Compliance Manager who wants to step into the role of a Senior Compliance manager. The right individual needs to be able to balance their technical knowledge with the ability to work within a team environment. In the role of Senior Compliance Manager, you will be responsible for ensuring that we remain compliant with our controls framework, and drive continuous improvement of our controls.  Additionally, you will be responsible for interfacing with our regulatory audit teams and whenever necessary representing our controls environment to customers. You will collaborate with a global team to drive security audits, such as SOC 2, and manage key efforts around enhancing security posture via least privilege access, identity and access management, and anti-social engineering efforts.You willBe able to think beyond your current boundaries and have an ability to define and communicate a future strategy that is meaningful and adds value Must possess the ability to challenge the “status quo” and help the team drive the future of compliance Assist process owners in the preparation and on-going maintenance of process documentation (policies, procedures, narratives, control matrices) Manage, coordinate and perform audits of the controls in the environment Proactively identify gaps or conflicts in existing processes and work to develop solutions Communicate potential control gaps to Senior Management and coordinate cross functional team meetings to remediate and close control gaps Assist with the education and training of process owners within the RapidAPI Controls framework Coordinate work assignments with process owners, external auditors, and internal auditors as necessaryYou haveBS Degree in Computer Science or a technology related field5+ years experience within a SaaS environment with a focus on technology controls 5+ years experience within regulated industries and have HIPAA domain experienceWillingness and ability to travel to domestic and international locations Good organizational skills Strong written and verbal communication and presentation skills Strong analytical and research skillsAbility and willingness to work in a fast-paced environmentThis is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/123cbcbc-6828-4727-9d42-0e5364c71115
Growth Analytics Manager,Product,Tel Aviv,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.The Growth team at RapidAPI is on a mission to fuel the funnel and increase active developers in our ecosystem by building high value self-serve experiences. In this role you will work on projects geared towards accelerating the movement of users through the funnel by harnessing existing data as well as helping define and enrich the current data infrastructure. This is a critical role for the company as you will be part of the team that stands on the precipice of defining the data and analytics culture and rhythm of a rapidly growing business. You WillHelp define and execute projects geared towards customer acquisition, engagement and revenue growth Build out reporting to track product performance KPIs using tools like Tableau, Excel, SQLOwn the A/B testing from setting up the experiment, working with engineering, reporting and interpreting the results/suggesting the next stepsConduct statistical analysis to derive and define metrics predictive of performance of the bottom line metrics (sensitivity curves, forecasting and prediction)Apply your expertise in quantitative analysis, data mining, and statistical modeling to deliver impactful, objective, and actionable data insights that enable informed business and product decisionsYou HaveExtensive experience translating business stakeholder needs into concrete metrics with a clear path to developing self sustained, cadenced reportingExpertise in building out complex data sources to power analytically sophisticated dashboards and reportingSolid understanding of experimentation process and platforms such as Opmitizely, Launch Darkly, Google OptimizeExtensive background in using statistical inference, experimentation and predictive modeling to drive actionable recommendationsExcellent knowledge of SQL and at least one scripting language (Python/R)Nice to have: experience working with analytics tools such as Heap Analytics, GA, Amplitude, SegmentThis is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/772fccbe-29f0-4b72-934a-3bc522851fe2
Administrative Assistant to Senior Executive,Operations,San Francisco,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.We are seeking a hardworking, organized individual to be the administrative assistant to one of our executives and their team - working closely to handle the day to day administrative requirements of an executive during a period of high growth. This role is a great opportunity to work with the highest level of management in the company and support leadership through fast growth. Day to day responsibilities will include calendar management, internal correspondence, and limited project management tasks such as assisting in planning a corporate off-site or company all-hands. This company is experiencing extremely rapid growth, so you'll need to be excited to roll up your sleeves and hit the ground running fast. This role is an in-office role. The Administrative Assistant must be willing to be present in the San Francisco office 4-5 days per week. This is an outstanding career option for an experienced and service oriented executive assistant looking to further their career in a dynamic environment while also being part of a rapidly growing company.You WillOwn and manage the Executive’s calendarIntegrate with the Executive’s direct team to align prioritiesBe able to manage heavy calendaring and proactively prioritize commitments to help with time managementAct as a team leader and gatekeeper to executivesAssist team members with limited projects such as corporate off-site, all-hands, and annual kick offAssist in planning travelCreate and submit expense reportsYou Have Own and manage the Executive’s calendarIntegrate with the Executive’s direct team to align prioritiesBe able to manage heavy calendaring and proactively prioritize commitments to help with time managementAct as a team leader and gatekeeper to executives - High level of integrity and discretion in handling confidential informationAssist team members with limited projects such as corporate off-site, all-hands, and annual kick offAssist in planning travelCreate and submit expense reportsProficient with Macs, Slack, Zoom, and Google’s suite of business programs (Calendar, Mail, Drive, Docs and Sheets). This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/ddeea262-5af6-4d63-a82b-af88721516fa
Full Stack Team Lead,Engineering,Tel Aviv,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.To lead the FullStack Team (in Tel Aviv). Who is responsible for the API definitions, the APIs creation, and updates along with the runtime processes. The team contains strong FS developers with a passion for technology and strong product orientation. The main missions are ongoing improvement of the micro-services the team owns. Be part of new features and be responsible for the implementation (E2E). Improve our product’s quality and reliability. Build infrastructure to support our rapid growth and incremental system load.Lead a strong engineering team. Empower your team and give them all the support they need. ֿBe part of the decisions and the design, and be opinionated on the product features. Ongoing syncs and communication with peers and other team leadsAim for high standards and ramp up the services and the features the team owns. Be part of a leading company with high standards, and help us push the product to the next level.Strong technical knowledge and understanding of product building end to end.The motivation to lead a high-scale team Strong javascript coding skills especially NodeJS & React (at least 5 years experience)Startup mindset and mentality.Strong methodology of testing, documentation, monitoring, CI/CD processes, and production deployment.Experience with AWS cloud services (or any other leading cloud infrastructure).Experience with Docker & K8s.This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/c7961914-6788-4a1d-b62e-c5a683084844
Director Product Design,Product,Berlin,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.We are looking for a Product Design Director in Berlin. You will help grow our international design team, dealing with the day-to-day management of designers and the long-term impact of design.As a Product Design Director Leader, you will lead and grow a team of product designers in Berlin, Tel Aviv and across Europe, ensuring their well being and high design quality of their work for areas ranging from developer tools to enterprise admin interfaces.You will work together with your counterparts in engineering, product, and other disciplines to define the strategy, operations, and communications that guide the team to build great products addressing real user needs. You will be expected to utilize your entire range of people management skills, product strategy, product design and interaction design skills.You willBuild and manage a talented, diverse, inclusive team of product designers and leaders that consistently delivers on projects and is well-balanced across a range of design skill setsResponsible for overall team performance and health, resource allocation, project prioritization, professional growth and building a culture of design excellenceLead and oversee the user experience of a product from conception to launch in partnership with product managers, engineers, and other team membersOccasionally lead by example, designing or leading design experiences that are simple and elegant for our tools and servicesProactively look for and solve high-level issues and opportunities.Cultivate a healthy design process for the team, and be a key contributor to your organization's product strategyProactively solicit and provide feedback from designers and a broader product team to continually raise our bar for quality while also taking on mentorshipPromote design methods and practices within the companyYou have5+ years of experience in managing a distributed team of product (UX, UI) designersHired designers for your teamCreated or participated in the creation of career paths in Design for your companyExperience in communicating and advocating design across departments on management level and above.This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/936b52b5-2ac1-45bc-aa4b-35b39e6373cd
"Director, API Product Architect",Product,Berlin,Full-time,"RapidAPI is a team of creators building for developers. We are the world's largest API Hub where over 4 million developers find, test, and connect to 40,000 APIs (and growing!) — all with a single account, single API key, and single SDK. Our users range from independent developers to the largest companies in the world. We work hard to ensure it's easy for developers to build, discover, and connect to APIs faster while providing enterprise-wide visibility and governance. As a result, entrepreneurs and enterprises can concentrate on creating value and business outcomes. We operate at a significant scale, but the opportunity is even bigger. You have an unprecedented opportunity to make a massive difference and empower developers to build modern software through API innovation while doing the most critical work of your career.Your RoleAre you interested in creating, driving, and implementing the API strategy for the world's largest API Hub? Do you love delighting millions of developers with automation and highly functional user interfaces? Do you enjoy rolling up your sleeves to write specifications and create the tooling to make your colleagues and customers successful?Then this is the job for you!RapidAPI is looking for an API Product Architect (Director-level) to join our team and help us scale our products and services while maintaining an incredible developer experience. You'll join an innovative and exciting leadership team that's advancing the state of the art when it comes to building and consuming APIs.We need a leader to create new API strategies for the APIs we expose to our customers while also ensuring that our API Hub has best-in-class developer experiences when publishing and consuming APIs.You WillDefine our Platform API strategy & approach.Champion and pioneer our API Hub's ability to support best-in-class experiences for all API types.Perform competitive assessments and technical analysis of API platforms.Work with stakeholders across the company to rationalize and prioritize key use cases for building, consuming, and publishing APIs.Build and support automated compliance tool to ensure great API design.You HaveExtensive experience with API design and development.Experience working with API specifications (e.g. OAI) and working with open source initiatives (e.g. OpenAPI Initiative).Experience with full SDLC and DevOps tooling.Demonstrated the ability to work with all partners, from business executives to engineers.This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/239cf4ff-cb03-403b-86db-13500bf2858b
"Enterprise Account Executive, TOLA",Sales,Remote US,Full-time,"RapidAPI is the world’s largest API hub and the company that is building the next-generation API platform for Enterprises. We enable developers and businesses to easily discover, test, and connect to any API, making it easier to create new software and services more rapidly. RapidAPI is used by millions of developers around the world and offers more than 40,000 APIs on the marketplace. Funded by a16z, Microsoft’s M12 and SoftBank Vision Fund 2, RapidAPI is experiencing rapid growth, fueled by an increase in the number of developers and companies using our platform.GENERALWe are seeking a hardworking, driven individual with superb energy, passion and initiative for new business acquisition in the Enterprise market. The RapidAPI Enterprise Account Executive will be one of the first to join our Enterprise Sales team in the TOLA region. The Enterprise Account Executive role focuses on formulating and executing a sales strategy within an assigned territory, resulting in revenue growth and new customer acquisition. A successful RapidAPI Account Executive will be a key driver of RapidAPI’s high growth in a new and large Enterprise SaaS market.With RapidAPI’s year over year growth, now is the perfect time to join RapidAPI’s sales team. This is an outstanding career option for an enthusiastic sales professional looking to further their career in a fast paced dynamic environment while also being part of a rapidly growing start-up.This position reports to the Regional Vice President of Enterprise Sales, West.YOU WILLManage the entire sales process to ensure delivery against key performance metrics, with a strong emphasis on new business sales.  Identify goals and needs/requirements of prospects and clients, including budgetary constraints and key decision makers.Gain an in-depth and detailed understanding of RapidAPI’s business and products to confidently sell to Fortune 1000 companies.Engage with prospect organizations to position RapidAPI solutions through strategic value based selling, business case definition, return on investment analysis, references and analyst data.  Develop and manage a strong pipeline through a combination of customer engagements, marketing campaigns and market sector knowledge/intelligence.Create effective presentations and proposals.Negotiate pricing and contractual agreements.Provide account analysis and accurate revenue forecasts.Work closely with internal teams to ensure clients’ success/satisfaction.Meet/Exceed individual targets and contribute to the overall team and company success.Travel may be required (do what you need to do to close the deal).YOU HAVE7-10+ years of quota-carrying software technology sales; 3+ years selling to enterprise companies with a focus on new business sales.Relevant software industry experience in any of the following: domains; API platforms, API management, integration software, application development or management or similar, Subscription, SaaS, or Cloud software.Entrepreneurial mindset with proven success working for both large and small companies. Passionate about communicating value to senior stakeholders and developing creative customer solutions.Possess a hunter sales mentality with a strong desire to be successful, and have a proven track record of overachievement and exceeding sales targets.Ability to learn and establish credibility quickly with all levels of buyers at an Enterprise. High IQ, EQ and self-awareness.Customer-focused with extensive experience building customer relationships within multiple business units and managing prospects through complex product evaluations.A demonstrable track record of success managing the end-to-end sales process and engaging with all levels from end users to business champions to C-level executives. (Experience selling to CIO/CTO/VP of Engineering leaders at Fortune 1000 companies a plus).Strong ethics and company orientation: Passionate about growing your career in a fast growing start-up environment, and contributing to RapidAPI’s company mission and vision.History of extensive and consistent new account penetration; creative prospecting skills leading to strong, predictable pipeline development.Excellent communication skills; listen presentation, sales closing, and use of CRM tools. Deep curiosity combined with analytical skills.Must live in territory (Texas, Oklahoma, Louisiana, Arkansas). This is an opportunity to play a key role in a fast-growing and high-scale startup company distributed across the US, Europe, and Israel. You'll be taking our product to the next level within a high talent density team and out-of-the-box thinking. Having raised $150 million in a Series D investment round in 2022; you’ll be working with a team that is scaling globally, fast.If this sounds like you, click apply below! We’d love to hear from you.Apply for this job",https://jobs.lever.co/rapidapi/2684fd70-5fda-4685-9349-e2f722ed37ed
Graphic Designer,Marketing,San Francisco,Full-time,"We are seeking a Graphic Designer with 5-8 years of professional experience who will be the guardian of the RapidAPI brand, defining our creative direction, translating the brand into successful design elements, maintaining a comprehensive design system, and helping others apply the design system successfully in their projects. This position will work closely with the Marketing team to imagine, create, and ship a wide variety of design assets. An ideal candidate will understand the value of a strong and differentiated brand and is used to working in a fast-paced environment Key ResponsibilitiesProduce dynamic and engaging design solutions for a range of marketing channels, audiences, and departmental needs.Apply graphic design to the website, collateral, social media, webinars, presentations, campaign materials and other content.Build our creative bank - develop and manage an organized library of design assets and templates so that it is easy to navigate and encourages our teammates to accurately utilize our visual brand.Monitor and manage brand perception and identity Onboard and guide the work of creative agencies and freelancers according to needs, prioritizing and managing work, budgets, timelines, and scope.Work with the product marketing, campaigns and content teams to develop workflows and schedules to meet deadlines and deliveries.Collaborate with Product Design to ensure the brand is consistent at every touch pointOversee the prioritization and assignment of all creative requests, and establish processes to stay focused on priorities.Champion the brand style guide to drive brand consistency across all touch pointsPlan for hiring and resourcing needs to grow our in-house team as required.RequirementsAbility to design and produce high-end, multi-platform design deliverablesMastery of Figma, Adobe CC (InDesign, Photoshop, Illustrator, Acrobat), Google Workspace, PowerPointWorking knowledge of Adobe Premiere and Adobe After EffectsExcellent written and verbal communication skillsHighly organized, detail-oriented, high degree of initiative, self-motivation and resourcefulnessApply for this job",https://jobs.lever.co/rapidapi/dca3ec8d-3af1-4e3c-b245-8d979e7f636d
