Name of the role,Department,Location,Job type,Job description,URL
Site Superintendent,Construction Operations,"Remote - Mitchell/Orleans, IN",Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Working remotely in southern Indiana, our Site Superintendent is responsible for the on-site development of the project and oversees the day-to-day progress of the project.  This may include, but is not limited to, the overall onsite project installation from demo to startup.  May be asked to travel outside the area.
Site Superintendent Responsibilities

Prepare installation schedules from demo to completion.
Ensure projects are within project plan & specification scope.
Support team members on design of projects.
Support team members in the bid process.
Ensure projects are on time and within schedule.
Prepare and distribute meeting minutes, daily log, request for proposal, and schedules.
Build a positive relationship with the Owners of projects assigned.
Maintain up to date records of the projects during the addendums and modifications throughout the project.
Review monthly red line as-builts of each prime contractor to and take the lead to acquire red line as-builts at the end of the project from all prime contractors.
Participate in the design development process of assigned projects.
Assist the Project Management and Engineering teams with proposed systems, design, implementation, commissioning, and warranty phases.
Review the SitelogIQ SafetyIQ Manual and program and implement as required on the assigned projects.
Actively participate in sales pursuits and proposal development as requested.
All other duties as assigned

Site Superintendent Qualifications

Ten years of site construction management, preferred
Ability to manage prime contractors
Ability to work with individuals at all levels of development
Proficient in Microsoft Office applications
Ability to organize and work effectively with project teams and clients
Excellent analytical and organizational skills
Strong understanding of general contracting methods and techniques

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
If you’re an energetic Site Superintendent and want to be a part of a high performing team, we should talk.
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=73fa706b-3f79-4af1-af99-118d873eb02f
Lighting Lead Technician,Installation,"Nashville, TN 37203, USA,Tampa, FL,Fort Lauderdale, FL",Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Working out of our Healthcare Division, the Lighting Lead Technician role is critical to the day-to-day management of our crews and projects, including but not limited to electrical functions, install and troubleshoot components; keeping the jobsite organized and running smoothly. This position requires a high attention to detail and accuracy as well as very clear and proactive communication skills, both with internal teammates as well as safety professionals.  All members of our team are expected to work together in a safe, positive, respectful, and professional manner.  Our lighting crews currently travel throughout FL, TX, and  TN for 5 weeks, then are off for 1 week.  We cover travel, provide a meal per diem, and offer a  mobile phone stipend.  
Lighting Lead Tech Responsibilities


Perform electrical/installation work and provide direction and site supervision to installation team


Verify fixture counts, material requirements, and develop installation plan for project and communicate the plan to all technicians and installers




Field installation of project scope ensuring all work is performed according to the appropriate compliance and is completed in a timely manner




Provide regular and timely project information to the operations team regarding project progress, installation variance, manpower resources, equipment rental, and differences in Contract Project Scope




Obtain an understanding of project scope of work from supervisor including any available plans or documents




Close out projects via Installation Verification Form (IVF), conduct quality assurance and prevention, jurisdictions inspections, and any final verification of scope and quality




Responsible for all aspects of lighting service including lamp and ballast replacement, troubleshooting, control circuits, tracing underground lighting circuits, and cleaning lenses




Install, replace, or repair light fixtures and ballast including electrical work as needed


Perform lighting retrofits


Must be able to perform job tasks with no supervision 


 Lighting Lead Tech Qualifications 

3 plus years lighting experience
High school diploma or equivalent
NRLT or CSLT
Adhere to safety policy as well as rules and regulations
Ability to lift and move up to 50 lbs unassisted
Ability to withstand varying degrees of temperature typical in an outdoor environment
Must maintain active driver’s license with a clean record and have reliable transportation to report to various job locations


Ability to travel overnight and extended periods of time

Physical Requirements 
Frequent standing, walking, climbing a ladder or working from heights, lifting, moving, driving, pushing, pulling, requires good eyesight, extended periods of time where arms are raised above head.
NOTE:  This job description is not intended to be all-inclusive. Employee may be asked to perform other related duties as required to meet the ongoing needs of the Organization.
More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work.
If you’re energetic and want to be a Lighting Lead Tech on our team, we should talk!
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=91ad4c76-6f78-4709-8903-366d1f337baa
Site Superintendent,Construction Operations,Remote - Northern Indiana,Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Working remotely in northern Indiana, our Site Superintendent is responsible for the on-site development of the project and oversees the day-to-day progress of the project.  This may include, but is not limited to, the overall onsite project installation from demo to startup.  May be asked to travel outside of area.
Site Superintendent Responsibilities

Prepare installation schedules from demo to completion.
Ensure projects are within project plan & specification scope.
Support team members on design of projects.
Support team members in the bid process.
Ensure projects are on time and within schedule.
Prepare and distribute meeting minutes, daily log, request for proposal, and schedules.
Build a positive relationship with the Owners of projects assigned.
Maintain up to date records of the projects during the addendums and modifications throughout the project.
Review monthly red line as-builts of each prime contractor to and take the lead to acquire red line as-builts at the end of the project from all prime contractors.
Participate in the design development process of assigned projects.
Assist the Project Management and Engineering teams with proposed systems, design, implementation, commissioning, and warranty phases.
Review the SitelogIQ SafetyIQ Manual and program and implement as required on the assigned projects.
Actively participate in sales pursuits and proposal development as requested.
All other duties as assigned

Site Superintendent Qualifications

Ten years of site construction management, preferred
Ability to manage prime contractors
Ability to work with individuals at all levels of development
Proficient in Microsoft Office applications
Ability to organize and work effectively with project teams and clients
Excellent analytical and organizational skills
Strong understanding of general contracting methods and techniques

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
If you’re an energetic Site Superintendent and want to be a part of a high performing team, we should talk.
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=1cd5f61f-8d87-458b-bda7-6cebd22b03a4
Site Superintendent,Construction Operations,"Remote - Omaha, NE",Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Working remotely in west central Iowa, our Site Superintendent is responsible for the on-site development of the project and oversees the day-to-day progress of the project.  This may include, but is not limited to, the overall onsite project installation from demo to startup.  May be asked to travel outside of area.
Site Superintendent Responsibilities

Prepare installation schedules from demo to completion.
Ensure projects are within project plan & specification scope.
Support team members on design of projects.
Support team members in the bid process.
Ensure projects are on time and within schedule.
Prepare and distribute meeting minutes, daily log, request for proposal, and schedules.
Build a positive relationship with the Owners of projects assigned.
Maintain up to date records of the projects during the addendums and modifications throughout the project.
Review monthly red line as-builts of each prime contractor to and take the lead to acquire red line as-builts at the end of the project from all prime contractors.
Participate in the design development process of assigned projects.
Assist the Project Management and Engineering teams with proposed systems, design, implementation, commissioning, and warranty phases.
Review the SitelogIQ SafetyIQ Manual and program and implement as required on the assigned projects.
Actively participate in sales pursuits and proposal development as requested.
All other duties as assigned

Site Superintendent Qualifications

Ten years of site construction management, preferred
Ability to manage prime contractors
Ability to work with individuals at all levels of development
Proficient in Microsoft Office applications
Ability to organize and work effectively with project teams and clients
Excellent analytical and organizational skills
Strong understanding of general contracting methods and techniques

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
If you’re an energetic Site Superintendent and want to be a part of a high performing team, we should talk.
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=0f5d3ca1-3f94-422d-84e6-e4ec5210b2d3
Director of Pre-Construction,Construction Operations,Remote - anywhere within United States,Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations that want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability, and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Our Director of Pre-Construction will work out of our Midwest Division, located in Hopkins, MN.  Ideal candidate would reside in the Midwest area and willing to travel to project sites as needed.
As the Director of Pre-Construction you will lead and oversee the pre-construction team and activities. You will report directly to the VP of Implementation.
You will be responsible for leading all pre-construction services to deliver quality projects to the implementation team by evaluating all documentation and site conditions associated with the project from development through bidding. You will guide, mentor and train pre-construction team members.  
To be successful in this position, an individual will need to be self-driven, proactive person with an entrepreneurial spirit; unafraid of rolling up their sleeves and doing the work needed on their own. Solid decision-making skills, ability to avoid and or resolve conflicts. This person will be an experienced individual proficient in all phases of the construction process.
Director of Pre-Construction Responsibilities:

Management and staff development of the Pre-construction Team
Hold staff accountable for performance and quality of deliverables
The Director of Preconstruction will be responsible for

Preconstruction and project control activities during development, design, and bidding
Providing leadership to support a collaborative and integrated project delivery handoff
Reviewing quality of estimates for accuracy and thoroughness
Quality review of all project documents for completeness and accuracy
Document review for constructability issues, and scope creep and efficiencies
Bid package strategy and required documentation
Quality and accuracy of front-end specifications


Development of preliminary construction schedule and phasing plans
Oversee solicitation and engagement of subcontractors and suppliers
Ensures we have proper coverage from subcontractors on bid day
Performs comprehensive bid day analysis and scoping of assigned trades
Creates bid packages that fit the scope and area of the project ensuring we have the right subs and minimize tier bidding where possible
Draw schedule creation and initial invoice to owner
Utilize Cross sectional team of resources including Design, Development, and Implementation
Maintaining schedules and staff assignments
Develop and maintain a cost history database to be used in developing budgets and estimates throughout the preconstruction phase.
Remain up to date on trends in the industry with respect to estimating methods and technology, methods of construction and materials, construction costs, wages and related costs, productivity rates, and working rules.
Develop and ensure adherence to estimating, bidding, and quality control policies and procedures, as well as other corporate policies and procedures.
Participate in meetings with owners, architects, engineers, consultants, subcontractors, and others in the execution of work.
Hire and actively develop pre-construction and estimating staff.
Facilitate comprehensive training and development of staff.

Director of Pre-Construction Qualifications:

Bachelors degree in Building Construction, Construction Management, Engineering or Architecture or relevant area of study
7-10 years of experience in preconstruction or construction management leadership experience
Ability to read blueprints and specifications
Strong understanding of general contracting methods and techniques
Proficient in Procore Construction Software and Microsoft Office Applications
Outstanding detail oriented and time management skills
Ability to organize and work effectively with teams and clients
Ability to coordinate or manage multiple projects and tasks simultaneously
Effective presentation skills
Excellent oral and written communication


More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work.
If you’re energetic and want to be part of a high-performing team as our Director of Pre-Construction we should talk!
SitelogIQ is an Equal Opportunity Employer and participates in E-Verify.            
 
",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=502fc3f0-6711-447d-a538-4660eeeecb74
ESCO Account Executive,Sales,"Remote - Los Angeles, CA",Full Time,"SitelogIQ has exciting things going on in California!  We’re looking for talented Sales Professionals to join our rapidly growing business.  

Best in industry commission plan. 
Focused resources to support your sales efforts that develop and deliver faster. 
Fantastic culture supporting each other and our customers.  
Quick and nimble organization. 

Join the best public sector ESCO in California! 
SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
This role within our West Division can work remotely anywhere in Northern California. The ESCO Account Executive targets the education (K-12 and higher education) and local government market segments with proactive, industry-leading, financial and energy solutions that improve the fiscal integrity of our client’s budgets and deliver guaranteed self-funded results. This position requires the individual to have a strong financial and analytical aptitude and the ability to navigate a complex selling environment. In this position you will call on the public sector – School Superintendents, Chief Business Officers, City Managers, and upper-level management throughout the Education and/or Muni sectors.  The sales territory generally includes all of California and will be further defined based on your actual location. 
ESCO Account Executive Responsibilities

Drive sales process – from start to finish
Initiate contact and actively seek out new sales opportunities through cold calling, networking, and social media
Develop sales strategy
Quarterback the solution development team
Initiate, build, and maintain executive level relationships
Perform the necessary research, qualify, and develop the sales strategy to develop a marketing plan intended to secure sales at or above annual quotas
Meet firm deadlines and quarterback the team so they do the same
Work as a team player with the Business Development team
Consistently implement Salesforce.com as the primary means of managing sales pipeline and activity

ESCO Account Executive Qualifications

Bachelor of Science degree or its equivalent in education and experience in the Energy Industry (education and experience totaling 4 years)
Extensive knowledge of the K-12, local government, and/or higher education markets
Experience with ESCO sales
Experience in cold calling
Knowledge of proactive prospecting at the financial decision-making level
Proficient in MS PowerPoint, Excel, Word, etc.
Strong written and oral communication skills, presentation skills, and computer skills
Understanding of financial statements and operating budgets
Must be an outstanding presenter and therefore possess a complete understanding of MS PowerPoint
Must be able to produce a persuasive proposal through exceptional writing skills as required for all RFP’s and RFQ’s
Ability to travel up to 50%

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the job site, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work. 
If you’re energetic and want to be a part of a high-performing team, we should talk.
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=0d3f2d4e-e454-45f8-b6d3-550d69187e8a
ESCO Account Executive,Sales,Remote - All US,Full Time,"SitelogIQ has exciting things going on in California!  We’re looking for talented Sales Professionals to join our rapidly growing business.  

Best in industry commission plan. 
Focused resources to support your sales efforts that develop and deliver faster. 
Fantastic culture supporting each other and our customers.  
Quick and nimble organization. 

Join the best public sector ESCO in California! 
SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
This role within our West Division can work remotely anywhere in Northern California. The ESCO Account Executive targets the education (K-12 and higher education) and local government market segments with proactive, industry-leading, financial and energy solutions that improve the fiscal integrity of our client’s budgets and deliver guaranteed self-funded results. This position requires the individual to have a strong financial and analytical aptitude and the ability to navigate a complex selling environment. In this position you will call on the public sector – School Superintendents, Chief Business Officers, City Managers, and upper-level management throughout the Education and/or Muni sectors.  The sales territory generally includes all of California and will be further defined based on your actual location. 
ESCO Account Executive Responsibilities

Drive sales process – from start to finish
Initiate contact and actively seek out new sales opportunities through cold calling, networking, and social media
Develop sales strategy
Quarterback the solution development team
Initiate, build, and maintain executive level relationships
Perform the necessary research, qualify, and develop the sales strategy to develop a marketing plan intended to secure sales at or above annual quotas
Meet firm deadlines and quarterback the team so they do the same
Work as a team player with the Business Development team
Consistently implement Salesforce.com as the primary means of managing sales pipeline and activity

ESCO Account Executive Qualifications

Bachelor of Science degree or its equivalent in education and experience in the Energy Industry (education and experience totaling 4 years)
Extensive knowledge of the K-12, local government, and/or higher education markets
Experience with ESCO sales
Experience in cold calling
Knowledge of proactive prospecting at the financial decision-making level
Proficient in MS PowerPoint, Excel, Word, etc.
Strong written and oral communication skills, presentation skills, and computer skills
Understanding of financial statements and operating budgets
Must be an outstanding presenter and therefore possess a complete understanding of MS PowerPoint
Must be able to produce a persuasive proposal through exceptional writing skills as required for all RFP’s and RFQ’s
Ability to travel up to 50%

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the job site, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work. 
If you’re energetic and want to be a part of a high-performing team, we should talk.
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=c3563c5a-f773-4d4c-ada4-a74836e0a61e
Mechanical Estimator,Estimating,"Harrisburg, PA 17110, USA,Oakmont, PA 15139, USA",Full Time,"SitelogIQ is a rapidly growing energy and facility services company with a deep market footprint and history of success. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Our Mechanical Estimator will manage the M/P/S (mechanical/plumbing/sprinkler) preconstruction services. Reporting to the Director of Preconstruction, mechanical management responsibilities include completing the tasks identified below by performing the work required and/or utilizing and managing available resources (both in-house and outside consultants) to do so. Hybrid work arrangement in either the Harrisburg / Pittsburgh areas. 
Mechanical Estimator Responsibilities

Provide HVAC, plumbing and fire protection estimating for commercial and K-12 projects using QuoteSoft software. Progress estimates will include conceptual, programmatic, schematic, design development and construction document estimates.
Read and understand construction documents including architectural and electrical.
Provide value engineering, life-cycle cost analysis and facility studies.
Provide constructability reviews of drawings and specifications.
Coordinate design efforts with the Preconstruction Manager, Engineers and Developers.
Provide input on the M/P/S portion of construction schedules.
Review and provide edits for division 0 and 1 front end specifications relating to M/P/S work.
Solicit mechanical bids for agency CM, energy and general construction projects.
Review and evaluate M/P/S bids.
Assist in developing written scopes of work for hard bid and design build projects.
Be part of a team that will develop performance contract work.
Update Quote Soft system assemblies and unit costs.
Perform M/P/S site Inspections to confirm scope details and resolve constructability issues.
Provide M/P/S support and troubleshooting for our field staff.
Assist with marketing opportunities
Strive for complete client satisfaction
Occasional day travel

Mechanical Estimator Qualifications

Minimum of 10 years’ estimating/project management experience on projects that have an estimated mechanical and plumbing value ranging from $1M to $30M+.
Bachelor’s degree in Engineering or Construction Management, or a combination of technical training and/or related field experience.
Familiarity of systems required for Education, Healthcare, Institutional, and Office/Commercial projects.
Understands preliminary system design parameters for development of budgets at early stages of projects – Design/Build experience is a plus.
Ability to operate Microsoft Office systems and estimating software - QuoteSoft Duct & Pipe preferred.
Established relationships with mechanical and plumbing contractors and suppliers is a plus.

More About SitelogIQ
At SitelogIQ, we partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work.
SitelogIQ is an Equal Opportunity Employer.             ",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=b1f43b02-f9a2-4c43-bb00-9b5101485527
Electrical & Lighting Installer,Installation,"Ontario, CA 91764, USA,Remote, CA 00000, USA",Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Working out of our Commercial & Industrial Division, located in Ontario, CA, the Electrical & Lighting Installer is critical to the day-to-day execution of our projects, including but not limited to understanding basic electrical functions, install and troubleshoot components; keeping the job site organized and running smoothly. This position requires high attention to detail and accuracy as well as very clear and proactive communication skills, both with internal teammates as well as safety professionals. All members of our team are expected to work together in a safe, positive, respectful, and professional manner.
Electrical & Lighting Installer Responsibilities• Install, replace, or repair light fixtures and ballasts• Perform lighting retrofits with or without supervision• Work safely and work well with the team• Cleanliness of work area is expected at all times on customer sites• Effectively communicate task completion details with regard to daily goals
Electrical & Lighting Installer Qualifications • 6 months or more of lighting installation experience• High school diploma or equivalent• Must maintain active driver’s license with a clean record and have reliable transportation to report to various job locations• Adhere to safety policy as well as rules and regulations• Ability to travel overnight and extended periods of time.  Crews travel for 5 weeks the are off for 1.  We cover travel, provide a meals per diem, and offer a mobile phone stipend
Physical Requirements • Ability to lift and move up to 50 lbs. unassisted• Ability to withstand varying degrees of temperature typical in an outdoor environment
More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work.
If you’re energetic and want to be an Electrical & Lighting Installer on our team, we should talk!
SitelogIQ is an Equal Opportunity Employer and participates in the E-Verify program. ",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=90823626-6d20-4437-ab93-707490fe7249
Solution Developer II,Engineering,"Nashville, TN 37203, USA",Full Time,"SitelogIQ is a rapidly growing energy and facility services company. We provide planning, design, and management solutions for organizations who want efficient and sustainable building environments that are healthier and safer for their occupants. We offer a highly competitive salary, comprehensive benefits including medical and dental, vision, disability and life insurance, 401K, PTO, tuition reimbursement, and the ability to add value to an exciting mission!
Our Solution Developer II will work out of our Healthcare Division, located in Nashville, TN.  This role is responsible for the preparation of design layouts, specifications, facility improvement measures and calculations needed to support the sales and construction departments. Daily components of this role include audit analysis, product specification, product research, lighting design and the preparation of proposal resource documents for stakeholders, highlighting design intent and product features. An effective SitelogIQ Solution Developer II will need to collaborate with team members to build positive working relationships, analyze and resolve solution buildout issues expediently, determine resource requirements and identify vendor and internal resources to successfully execute project development. A successful SitelogIQ employee will share knowledge with others by serving as a constant contributor, trainer, mentor, and resource.
Responsibilities

Assist Account Managers to determine customer’s specific technical requirements, project scope, definition of work and product feature needs.
Participate in site-surveys, pre-bid and pre-construction meetings.
Conduct field audits of existing building systems by walking property site, with the objective of providing accurate and detailed information on the existing Lighting, HVAC, Plumbing, Motors and Control Systems.
Generate submittal packages (product data sheets; bill of materials; standard and customer drawings; layout and connection detail drawings; return on investment analysis; etc.).
Create standard and photometric drawings for typical product applications.
Generate comprehensive Facility Improvement Measure Proposals.
Responsible for local Juris code compliance research (e.g., Title 24 calculations).
Maintain all internal documentation in shared folder locations.
Responsible for lighting control intent and specifications.
Assist in large RFP and business development opportunities which will include creation of detailed submittal packages.

Requirements & Qualifications

Bachelor’s degree in technical field (e.g., engineering). Industry experience and credentials will also be considered.
Experience performing sales application duties for the commercial lighting industry and/or lighting controls industries.
Knowledge of lighting industry software (e.g., AGI32, Sketch-up).
Understanding of IES lighting requirements.
Experience providing quotes and understanding audit data.
Understanding of project scheduling, task definition and effort estimation.
Ability to take project from concept to completion.
Strong design evaluation, documentation writing skills, problem solving skills, and attention to detail.
Will be expected to go above and beyond assigned tasks to improve the company and increase client satisfaction.
Must be able to work independently, with minimal supervision under time sensitive deadlines.
Up to 50% travel will be required for site assessments and customer presentations.

More About SitelogIQ
At SitelogIQ, we’re focused on creating a great environment for our team first so that it is more energizing and rewarding to focus on creating a great experience for our customers. That’s what we call a win-win.
Through our core values and behaviors, we’ve built a strong company foundation. We support innovation and excel at delivering above expectations. We embrace flexibility, don’t settle for mediocrity or complacency, and reward tenacity and results. We support high-performing people and are energized by each other. Whether at the jobsite, in the office, or enjoying an event, we have assembled a best-in-class team who knows how to drive measurable results through meaningful work and have a great time together.
We partner with clients in K-12, higher ed, government, healthcare, multifamily housing, and industry to optimize energy efficiency, improve indoor air quality, address lighting, and improve the customer experience. With offices across the country, it’s rewarding to make a difference in the communities where our teammates live and work.
If you’re energetic and want to be a Solution Developer II on our team, we should talk!
SitelogIQ is an Equal Opportunity Employer.",https://recruiting2.ultipro.com/SIT1001SILQ/JobBoard/6a77286d-3477-45d7-9461-715b965f604c/OpportunityDetail?opportunityId=f7e4be55-ceb9-46b4-a1ab-d2acbc036735
