Name of the role,Department,Location,Job type,Job description,URL
Hardware Reliability Engineer Co-Op,Technical Operations & Deployment,"Waltham, MA",,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by cloud-based software.
This is a Co-Op opportunity for college students interested in the hardware support of a fleet of robots in warehouses across the United States.  An ideal candidate possesses electro-mechanical experience, learns quickly, and can work independently. You will join our Hardware Reliability Team in a role that requires a unique mix of data analysis, electro mechanical skills, project management, and technical writing skills. If you enjoy tinkering, troubleshooting, technical writing, and want hands-on experience with a new technology in a rapidly growing industry, this role is for you!
 
Key Activities:
As a Hardware Reliability Engineering Co-Op you will get the opportunity to gain the experience of what it takes to support a fleet of robotic equipment spread across the USA, gain valuable reliability and maintenance hands on learning, and work with a fast growing technology company. The robotics industry is rapidly growing and the maintenance of robotic equipment is a demand that will continue to expand. 

Help support a region of 6 River Systems sites performing preliminary remote troubleshooting. 
Assist in updating our technical documentation including standard operating procedures, guides, and create content for a new knowledge base. 
Help analyze the service history of robotic equipment, identify trends of failures and quality, and establish mitigation strategies. 
Develop and improve the team standard operating procedures and manuals
Make customers raving fans of our product

 
Projects
Supporting the hardware reliability engineering team with internal projects including but not limited to:

Develop new knowledge base tool using historical data
Perform diagnostics and hardware repairs on robots
Using BigQuery and Tableau dashboards, evaluate key performance metrics relative to HW reliability
Assist in automating dynamic monitoring of field issues   
Support the execution of field retrofits and preventative maintenance 

 
Preferred Qualifications:

Undergraduate/Graduate student (rising juniors or greater)
Pursuing an engineering or technical degree
Advanced coursework in Mechanical, Electrical, Industrial and/or Systems Engineering
Experience working with electro-mechanical devices
Effective communication, able to perform independently in remote environments
Experience/willingness to work in lab/warehouse environment using hand tools
Working knowledge of Linux based systems and command line interfaces is a plus
Familiarity with remote work tools (Google workspace tools, Project management) 

 
Our culture is built on trust, smarts, and collaboration. We encourage open discussion about particularly challenging problems. We are passionate about hiring diverse teams and providing great products for our customers.
Recognized by the Boston Globe as a Top Place to Work, 6RS provides an excellent work environment. At 6RS, you will find the entrepreneurial spirit of a start-up with the stability of a public company. 
About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
 
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6451866002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Website Manager ,Marketing,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with autonomous mobile robots driven and optimized by our cloud-based software.
We are seeking a Website Manager at 6 River Systems (6RS), a Shopify company. This is an exciting time to join the company and the marketing team as we build for our next phase of growth as part of Shopify’s larger mission to democratize commerce and logistics. 6RS is in a dynamic and exciting space in the warehouse automation and supply chain industry and it’s a great time to join. 
Responsibilities: 

Manage the external web properties for 6RS, including 6river.com and any additional that may be developed
Ensure the website is up and running and poses no security risks
Work closely with marketing, HR, and customer success to ensure all content on the website is kept up to date
Create imagery to be used in promotional areas across the site
Post new landing pages
Basic HTML and coding required to make minor changes quickly 
Manage agencies for development and design support on larger projects
Maintain web roadmap
Communicate effectively on project status, risks, and updates
Partner with the demand gen and field marketing teams to leverage the website as a demand tool - improve promotion strategy, proactively manage assets, come up with ideas to drive more pipeline leveraging the website
Drive SEO strategy and execution 
Continuously test and optimize the website for conversion
Report on KPIs: target account traffic, engagement, conversion
Measure results through account-based marketing view - look at target accounts, important industries, new logos versus customers

Qualifications: 

5+ years of experience managing external websites for B2B technology companies
Basic HTML and coding knowledge
Wordpress experience required
Experience with SEO and A/B testing and relevant tools 
Understand and proven success implementing landing page optimization 
Ability to manage multiple stakeholders and projects successfully 
Good communication skills
Detail oriented, strong project manager and budget manager 
Collaborative and good partner to the team 
Bachelor’s degree

Why 6RS? 

Entrepreneurial spirit and high growth of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfillment solution and part of the global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 95 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6444393002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Partner Account Manager,Sales & Solutions,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce has changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by artificial intelligence and advanced cloud-based software.
As a Partner Account Manager, you will develop partnerships and alliances to engage new customers. In this remote position, you will:

Engage and educate partners to increase the pipeline, accelerate deal velocity, and achieve revenue targets with a collaborative team
Conduct quarterly business reviews with partners and colleagues to increase sales of 6RS solutions and enhance outcomes
Manage day-to-day relationships with partners and facilitate joint account mapping to engage new leads, accelerate deals, and drive expansion with current customers
Assist with development of monthly forecasts and pipeline management to drive sales and achieve annual revenue targets
Partner with Marketing, Sales, Customer Success, and Deployment colleagues to drive customer engagement with partners

We’re looking for a Partnership/Alliances Sales Executive with: 

Minimum High School Diploma or equivalent
Minimum 3-5 years of experience
Experience implementing, supporting, and/or selling disruptive solutions, preferably partnering with retailers, third-party logistics providers (3PL), or other customers adopting disruptive technology or focused on supply chain automation
Successful selling to large enterprises and influencing executive leaders
Ability to travel up to 25% for partner meetings, trade shows, and special projects/events

Why 6RS? Recognized by the Boston Globe as a Top Place to Work

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6450199002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Solutions Designer,Sales & Solutions,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by our cloud-based software.
The Solutions Design Team is responsible for analyzing prospects’ and customers’ operations to recommend solutions based on their business needs.  
As a Senior Solutions Designer at 6 River Systems, you will create the end-to-end configuration and workflows for next generation automation solutions. This is an exciting opportunity to work with a team of experts transforming fulfillment and driving measurable improvements to our customers’ operations. 
You may be a great fit if you have:

Experience designing warehouse automation solutions
Passion for solving puzzles and finding creative workarounds to customer challenges
Proven ability to analyze large data sets, field technical questions, and solve complex problems as applied to real world solutions
Strong presentation skills with comfort presenting at the C-suite level

Experience working with AutoCAD, warehouse management systems (WMS), warehouse execution systems (WES), SQL, and data modeling tools is a plus.  
Position may require 10-20% travel to prospect and customer sites.
Why 6RS? Recognized by the Boston Globe as a Top Place to Work

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River SystemsFounded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About ShopifyShopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6076142002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
"Manager, Business Development Representative",Sales & Solutions,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by our cloud-based software
A Manager, Business Development Representative is responsible for leading a team of Business Development Representatives. The Manager will assist in establishing team objectives, provide Business Development Representatives (BDR) with opportunities to expand their knowledge of services, products, and troubleshooting techniques, analyze call data, and focus on improving performance and processes in an effort to better support prospects. As a Manager of BDR’s, exceptional communication, interpersonal, and client service skills are a must, as well as comprehensive knowledge of company policies and offerings. 
A successful Manager, Business Development Representative focuses on improving the growth and production of their BDR team and its outbound practices. One should be observant and detail-oriented while possessing an understanding of the business, products and services offered, as well as any issues an BDR is facing. 
Manager, Business Development Representative Responsibilities: 

Lead, motivate, and direct the activities of assigned team members in order to exceed quota and team goals
Provide ongoing support for the BDR team- including coaching & training by addressing BDR questions and concerns, troubleshooting challenging calls or issues, diffusing & handling prospect escalations
Ensure BDRs are leveraging tools and resources available to them while focusing on driving operational efficiency
Lead weekly meetings and consulting with team members to better understand call results, developing and maintaining processes, practices, and expectations
Assist other management team members in identifying trends and establishing goals
Prepare reports and analyze data to improve processes, ensure resources are properly allocated, and maximize efficiency and prospect experience. Additionally, possess the ability to present ideas and to communicate in writing, via emails and reports, or orally, explanations and data to support actions taken
Take on additional tasks or projects in the support of employees, fellow managers, and outbound operations. Most notably acting as a point of contact for BDR outbound messaging
Execute corrective actions, performance improvement plans, provide constructive feedback, and determine the urgency of caller termination if necessary. 

Manager, Business Development Representative Requirements: 

High School Diploma or equivalent.
Ability to multitask and remain calm under pressure especially during intense situations.
2-5 years of management experience, preferably in an outbound environment
Prior Experience using Salesforce and Excel/Google sheets
Exceptional interpersonal, client service, problem-solving, verbal & written communication, and conflict resolution skills. 
Knowledge of management principles and familiarity with company products, services, and policies. 
Strong coaching and leadership skills, ability to motivate employees. 
Decisiveness and attention to detail.
Proficiency with necessary technology, including computers, software applications, phone systems, etc.
Polite, professional phone/meeting presentation
The ability to handle confidential information with the utmost discretion

Why 6RS? 

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6447547002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Deployment Engineer | North America,Technical Operations & Deployment,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce has changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by artificial intelligence and advanced cloud-based software.
As a Deployment Engineer at 6RS, you will lead implementations of mobile robots and software to improve warehouse operations with customers. This is an opportunity to represent 6 River Systems as the primary contact onsite. In this new position, you will: 

Lead Implementations at customer sites and address challenging problems to launch fleets of autonomous mobile robots
Partner with the Customer Teams by communicating with warehouse managers, executive sponsors, and technical leads to achieve milestones and address challenging problems - our goal is for each new customer to become a raving fan of 6RS technology  
Train New Customers, answer questions, and address uncertainty to ensure satisfaction with new technology
Test and Validate integrations with customer systems while onsite
Review Metrics to ensure success and continuous improvement

We’re looking for a Deployment Engineer with technical knowledge and a customer-focused mindset. To succeed in this new position, you will need: 

Customer-focused approach and commitment to ensuring customer success with new technology
Ability to communicate with customer teams, including project leaders, warehouse managers, and warehouse associates
Ability to address unexpected challenges - solving problems, navigating through uncertainty, and remaining calm under pressure when leading implementations at customer sites
Experience working with and troubleshooting electro-mechanical systems 
Familiarity with Linux and the ability to write scripts to automate tasks
Familiarity with databases and the ability to write and edit SQL queries 
General knowledge of VPNs, firewalls, and routers
Curiosity and interest in learning about new technologies 

Deployment Engineers travel frequently (more than 75% of the time) to be onsite with customers during implementation projects. These implementations typically last 4-5 weeks and the most complex implementations require additional time onsite.
Why 6RS? Recognized by the Boston Globe as a Top Place to Work

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
 
6RS is an equal opportunity employer committed to building diverse teams. 
 
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6401703002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Senior Marketing Operations Manager,Marketing,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots and cloud-based software.
Responsibilities: 

Own the 6RS Pardot instance, ensuring that it continues to scale with the needs of the business as we grow
Own the email calendar and manage audience touches to keep unsubscribes low
Partner with sales to keep our target account database current
Make sure the contact database is accurate and segmented accurately to support our GTM team/s
Build and optimize nurture programs
Create all email programs and Salesforce campaigns and ensure sends go out on time with no errors
Manage the marketing tech stack and ensure products are implemented correctly, used fully, and contracts are kept up-to-date + negotiated thoroughly
Maintain and refine lead scoring model partnering closely with demand generation and business development
Manage the lead lifecycle: ensure every lead and engaged account is routed correctly for prompt follow-up
Maintain the campaign architecture in Salesforce
Own the pipeline attribution model and ensure that all opportunities have the correct attribution to support accurate reporting 
Create dashboards and reports for campaign-based, weekly, monthly, quarterly, and annual reporting
Collaborate closely with sales and customer success operations
Manage marketing ops agencies
Maintain a marketing operations roadmap that tracks all project dependencies and requirements to allow for proper prioritization and resource allocation

Qualifications: 

8-10+ years marketing operations experience, including 3-4 years in B2B enterprise software
Extensive skills in demand generation, and sales pipeline development and analysis; Account-Based experience is a plus
Highly analytical and structured thinker
Very organized, excellent time management and project management skills
Excellent budget manager
Expert user of Pardot, Marketo, and Salesforce
Experience with Demandbase, Full Circle, ChiliPiper, and up-to-speed on MarTech trends. Business Intelligence tool experience a plus
Ability to collaborate and negotiate across various departments and levels of seniority
Keen understanding of enterprise software sales cycles and model
Team player with strong intellectual agility and capacity for original thought but the willingness to roll up sleeves and execute
Passion for thriving in a rapidly changing environment with tight timelines that values creativity and strong execution
Bachelor’s degree

Why 6RS? Recognized by the Boston Globe as a Top Place to Work

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6361678002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Analytics Engineer - Co-Op,Technical Operations & Deployment,"Waltham, MA",,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by cloud-based software.
This is a Co-Op opportunity for college students who are excited about leveraging robotics data to create business value. The role would be joining the TechOps Data Automation and Intelligence team where we focus on using big data and automation to support the reliability and implementation of customer sites as well as report on the health of these sites to key stakeholders in the business. This role will be exposed to a wide breadth of data techniques, including big data analytics, data engineering, data science, and some traditional software development to support data built tools.
Key Activities:

Create data models from big data using SQL and DBT to monitor KPIs optimizing for performance  
Create data pipelines using python to extract data from various sources 
Develop visually compelling dashboards to tell great data stories to key stakeholders in the business  
Develop custom alerting from data models in python to drive actionable insights
Develop data tools that allow field engineers to leverage data to solve technical issues 
Solve hard problems with data backed answers and tools  

 
Preferred Qualifications:

Undergraduate student (rising juniors or greater)
Pursuing an engineering or technical degree
Experience with Python and SQL
Effective communication, able to perform independently in remote environments
Working knowledge of Tableau is a plus

Our culture is built on trust, smarts, and collaboration. We encourage open discussion about particularly challenging problems. We are passionate about hiring diverse teams and providing great products for our customers.
Recognized by the Boston Globe as a Top Place to Work, 6RS provides an excellent work environment. At 6RS, you will find the entrepreneurial spirit of a start-up with the stability of a public company. 
About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfilment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
 
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6468700002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Solutions Executive,Sales & Solutions,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by our cloud-based software.
As a Solutions Executive at 6RS, you will sell disruptive solutions to power faster fulfillment in a world changed by e-commerce. We're expanding our team and looking for a Solutions Executive who will: 

Identify New Opportunities: Research Retail and 3rd Party Logistics (3PL) accounts to engage decision makers and identify business challenges to address with 6 River Systems solutions
Know Your Champion and Economic Buyer: Build relationships and understand each customer's decision making process, qualifying during each step in the sales process
Engage the Team to Close Deals: Partner with a world-class team to demonstrate the business value of 6RS solutions

This could be a great match if you have: 

Significant experience selling disruptive solutions 
Methodical approach for qualifying opportunities and closing deals
Ability to ask the right questions and understand each customer
Experience engaging technical colleagues in the sales process
Experience achieving phenomenal revenues with a growing company
Interest in learning about industry-leading technologies

Why 6RS? 

Recognized by the Boston Globe as a Top Place to Work
Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company
Lifestyle spending account

About 6 River SystemsFounded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfillment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada, and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com. 
About ShopifyShopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com
6RS is an equal opportunity employer committed to building diverse teams.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6128543002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
Technical Program Manager,Product Management,Remote,,"
6 River Systems (6RS) is a Shopify (SHOP) company leading the way to faster fulfillment. E-commerce has changed the world and our solutions power winning warehouses of the future. We’re revolutionizing warehouse automation with collaborative mobile robots driven by artificial intelligence and advanced cloud-based software.
Our team is looking for a Technical Program Manager for our software engineering teams to drive important 6RS initiatives. Projects/programs will require general cross-organization coordination/facilitation and ownership of results. You will help drive the process involving cross-functional teams focused on the delivery of new or existing products. Plan and direct schedules and monitor the project from initiation through release. Organize activities ensuring completion of the project/product on schedule and within constraints. 
Responsibilities:

Build strong and aligned program teams to efficiently deliver on shared goals
Partner with Software Engineering, Hardware Engineering and Product with planning, execution, and delivery of cross-functional initiatives
Create a collaborative work environment that fosters autonomy and transparency, mastery, innovation, and learning
Promote value-driven delivery, innovation, and continuous improvement at multiple levels of the organization
Collaborate with stakeholders and engineering to define program requirements, scope, and priorities
Identify, analyze, and mitigate risk exposures at all levels
Help team backlogs and ensure forward project momentum
Lead efforts to resolve key project conflicts and establish appropriate resolution paths
Prepare and present program and project status to stakeholders
Communicate the impact of feature or schedule changes to teams that are affected
Work with engineering to tease out implementation details and identify roadblocks before they occur
Work with cross-functional teams to identify dependencies across teams manage tracking them and help remove any impediments
Facilitate and lead scrum-of-scrums and program retrospectives upon completion of engagement 
Drive project communications, keeping clear communication channels open
Actively lead or participate in client communications to include status calls, meetings, internal team communication with the client, etc.
Be the glue between different cross-functional teams that include Engineering, Product, Support, GTM, Deployment, UI/UX, etc.

 
 
Qualifications:

5+ years of tech industry experience and 3+ years of program management experience 
Experience with Agile methods and practices (Scrum, Kanban and/or SAFe) 
Experience delivering technical programs or products from inception to delivery
Ability to manage multiple concurrent major projects/programs for both short and long term goals
A talent for working independently in a fast-paced environment, navigating ambiguity, and creating clarity where needed
Excellent trade-off management in achieving tactical and strategic objectives
Self-starter; able to work independently, as well as in a team-oriented collaborative environment
Experience with JIRA, Confluence, Slack, and GSuite
Comfort in setting context (urgency, dependencies, and goals) and working with teams to determine milestones
Ability to work in a rapidly growing, fast-paced, dynamic company

 
Why 6RS? Recognized by the Boston Globe as a Top Place to Work

Entrepreneurial spirit of a start-up combined with the stability of a global commerce company
Competitive compensation packages and Shopify RSUs
Company-paid health, dental, and vision coverage for all employees
Paid holidays, vacation/sick time, and parental leave
Annual 401k contribution from the company 
Lifestyle spending account 

About 6 River Systems
Founded in Waltham, Massachusetts in 2015, 6 River Systems is a leading collaborative mobile robotics fulfillment solution and part of global commerce company Shopify. Founders Jerome Dubois and Rylan Hamilton were previously executives at Kiva Systems (now Amazon Robotics). The 6 River Systems solution is operating in more than 20 facilities in the U.S., Canada, and Europe, fulfilling millions of units each week for companies including Lockheed Martin, CSAT Solutions, ACT Fulfillment, DHL, XPO Logistics, and Office Depot. To learn more, visit www.6river.com.
About Shopify
Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Headquartered in Ottawa, Canada, Shopify powers over one million businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. For more information, visit www.shopify.com.
",https://boards.greenhouse.io/embed/job_app?for=6riversystems&token=6422979002&b=https%3A%2F%2F6river.com%2Fjobs-application%2F
