Name of the role,Department,Location,Job type,Job description,URL
Group Product Manager ,Product Management: Business Travel,"Tel-Aviv, Israel",,"TripActions is taking off, and we are looking for a Group Product Manager to lead our Flights product line of business. This is a critical leadership role for a foundational product line at TripActions. With the support of a team of passionate travel experts - designers, engineers, marketers, operations teams and more - you will drive the TripActions Flights products forward for travelers, providers/suppliers, and our business. If you are passionate about travel and technology, this is your chance to lead a set of products that anchor our business as we continue our hyper growth path, and build your career while doing so.
What You’ll Do:

Develop Flights eCommerce and content products and solutions that provide TripActions travelers the best content and Flights shopping, booking, and post-booking experiences.
Contribute to the strategic direction for content access (GDS, NDC, aggregators) across TripActions, balancing usability, supply competitiveness, and commercial opportunities to define the best path forward for TripActions bringing Flights content to travelers.
Work closely with our commercial partners and partnership teams to develop a product strategy and solutions that create value for our partners and our business.
Deeply empathize with travelers and clients and keep them at the center of your product direction and solutions.  
Partner with world-class engineers, designers, and analysts on product delivery - define/design/build/launch/measure products and features
Build influence through your use of storytelling, data, and logic
Collaborate with product marketers to define product positioning, value props, and product-market fit

What We’re Looking For:

You have experience in product management (5+ years) managing strategic direction for a portfolio of products, with a clear understanding how different products within a portfolio work together to drive business outcomes; and experience managing a team of product managers (2+ years).  
You have worked with travel content systems in the past and have an understanding of Flights business models and operations.  
You demonstrate good judgment in how to create value, how to decide which problems to solve, and in designing solutions to those problems
You are proactive, persistent, and creative in confronting challenges or obstacles
You thrive on an empowered product team and understanding the techniques and methods of modern product discovery and delivery. You feel accountability for outcomes, and understand the role of your team’s outputs in achieving them.
You have a track record of partnering with others to get things done. You engender trust and respect among your colleagues
You understand the importance of inclusion and diversity in team composition, thought process, and in designing products for our users

You have a deep interest in travel, technology, and how the two come together. You have a vision for how travel can and should be better",https://tripactions.com/careers/openings/4428913?gh_jid=4428913
"Front- End Architect, Fintech",Engineering: Fintech,Remote (USA),,"TripActions LiquidTM is an expense and corporate card solution that eliminates the hassles of expense management while giving finance leaders real-time spend visibility and control. TripActions Liquid provides employees with a refreshingly easy way to pay for what they need while giving finance leaders one easy place to control, manage, and track spend. With physical and virtual cards, smart policy management, and automated expense reports, TripActions Liquid streamlines the entire business spending process — driving cost-savings, productivity, and compliance.
In October 2021, TripActions announced its Series F funding of $275M at a post-money upround valuation of $7.25B to help accelerate future growth plans. In April 2021, TripActions and Visa announced an expanded strategic partnership. Through the new partnership with Visa, TripActions will accelerate the growth of its next-generation corporate card offering, increasing access to flexible payment methods with built-in policy controls.
At TripActions, “It’s all about the user.  All of them.” We’re passionate about providing a seamless one-stop experience for business travelers, no matter how they travel, where they stay, or where they’re going. TripActions Liquid™ is a next-generation spend management solution that is disrupting the market by offering virtual and physical corporate cards that eliminate the need for traditional expense reports—from approval submission to reconciliation. By tying the cards to customized spend policies and employees’ itineraries, TripActions Liquid automatically recognizes and files reports at time of purchase for real-visibility and control over spend. 
As a technical leader and contributor, you will partner closely with other engineers to drive change and improve frontend systems and developer experience. Although you will be at one of our highest levels of seniority, all individual contributors are expected to be hands on and contribute code.
What You’ll Do: 

Define overall technical architecture for major parts of the TripActions Liquid stack
Collaborate on application design with application development teams
Implement significant portions of the system and help others in the implementation
Understand how key technical decisions will drive business outcomes and deliver frameworks and platforms that improve delivery with high-quality to those outcomes
Knowledge of (and a passion for) current trends and best practices in front-end architecture, including performance, accessibility, security, and usability
Performing design and code reviews of other engineers at TripActions
Ability to establish credibility with smart engineers quickly
Experience with testing frontend code(Unit(Jest), E2E(Cypress), Isolation(Storybook))
Experience building developer frameworks that improve developer velocity, code quality and code health
Experience with continuous delivery models and methods (CI/CD)
You enjoy writing and sharing your expertise broadly
Expert at front end operational excellence - you think reliability, performance, instrumentation and measurability first

First 6 months

Understand technical aspects of our frontend systems and identify areas for improvement
Drive changes to frontend pipeline in efforts to improve developer experience and time to ship
Work with team to define approach for application performance monitoring and improvement
Directly mentor engineers on best practices and patterns

What We’re Looking For:
Required

Fullstack Javascript
Track record of driving change in engineering organizations
Ability to motivate people, instill accountability and achieve results

Nice to haves

Experience with Apollo GraphQL, NGRX, XState, Redux
Experience with Github Packages, Github Actions
Experience with JAMStack
Familiarity with common backend service languages such as Java, NodeJS
",https://tripactions.com/careers/openings/4594060?gh_jid=4594060
"Front-End Architect, Fintech",Engineering: Fintech,"Palo Alto, CA or San Francisco, CA",,"TripActions LiquidTM is an expense and corporate card solution that eliminates the hassles of expense management while giving finance leaders real-time spend visibility and control. TripActions Liquid provides employees with a refreshingly easy way to pay for what they need while giving finance leaders one easy place to control, manage, and track spend. With physical and virtual cards, smart policy management, and automated expense reports, TripActions Liquid streamlines the entire business spending process — driving cost-savings, productivity, and compliance.
In October 2021, TripActions announced its Series F funding of $275M at a post-money upround valuation of $7.25B to help accelerate future growth plans. In April 2021, TripActions and Visa announced an expanded strategic partnership. Through the new partnership with Visa, TripActions will accelerate the growth of its next-generation corporate card offering, increasing access to flexible payment methods with built-in policy controls.
At TripActions, “It’s all about the user.  All of them.” We’re passionate about providing a seamless one-stop experience for business travelers, no matter how they travel, where they stay, or where they’re going. TripActions Liquid™ is a next-generation spend management solution that is disrupting the market by offering virtual and physical corporate cards that eliminate the need for traditional expense reports—from approval submission to reconciliation. By tying the cards to customized spend policies and employees’ itineraries, TripActions Liquid automatically recognizes and files reports at time of purchase for real-visibility and control over spend. 
As a technical leader and contributor, you will partner closely with other engineers to drive change and improve frontend systems and developer experience. Although you will be at one of our highest levels of seniority, all individual contributors are expected to be hands on and contribute code.
What You’ll Do: 

Define overall technical architecture for major parts of the TripActions Liquid stack
Collaborate on application design with application development teams
Implement significant portions of the system and help others in the implementation
Understand how key technical decisions will drive business outcomes and deliver frameworks and platforms that improve delivery with high-quality to those outcomes
Knowledge of (and a passion for) current trends and best practices in front-end architecture, including performance, accessibility, security, and usability
Performing design and code reviews of other engineers at TripActions
Ability to establish credibility with smart engineers quickly
Experience with testing frontend code(Unit(Jest), E2E(Cypress), Isolation(Storybook))
Experience building developer frameworks that improve developer velocity, code quality and code health
Experience with continuous delivery models and methods (CI/CD)
You enjoy writing and sharing your expertise broadly
Expert at front end operational excellence - you think reliability, performance, instrumentation and measurability first

First 6 months

Understand technical aspects of our frontend systems and identify areas for improvement
Drive changes to frontend pipeline in efforts to improve developer experience and time to ship
Work with team to define approach for application performance monitoring and improvement
Directly mentor engineers on best practices and patterns

 
What We’re Looking For:
Required

Fullstack Javascript
Track record of driving change in engineering organizations
Ability to motivate people, instill accountability and achieve results

Nice to haves

Experience with Apollo GraphQL, NGRX, XState, Redux
Experience with Github Packages, Github Actions
Experience with JAMStack
Familiarity with common backend service languages such as Java, NodeJS
",https://tripactions.com/careers/openings/4489680?gh_jid=4489680
Lead Data Analyst - Loyalty & Growth,Data,"Salt Lake City, UT",,"At TripActions, “It’s all about the user. All of them.” We’re passionate about providing a seamless one-stop experience for business travelers, no matter how they travel, where they stay, or where they’re going. 
As one of our Lead Data Analysts of our global Data team, you will work closely with stakeholders from across the business including engineers, sales, marketing, finance, and operations to define the data needs and products which will drive the business forward. The ideal candidate will be extremely curious, knowledgeable about data strategy in Travel, and will use their data skills and business mindset to make a difference every day. We are looking for people who can operate at a company that grows as fast as ours by dealing with multiple moving pieces while still holding up quality, long-term thinking, and delivering value to our customers. We take great pride in our diversity of backgrounds, cultures, and perspectives and we strongly believe this is helping us to grow as a successful and impactful team. 
What You'll Do:

Collaborate daily with Design, Engineering, Product, and Go-To-Market teams to bring data and analytics
Lead the data and execution of analytics about growth, performance marketing, loyalty, and rewards to drive growth
Provide technical excellence and project leadership in the implementation of large, cross-functional data projects (for example, the development of a new financial reporting model and reporting)
Work closely with our executive team to provide insights and analytics to support business decision making
Support and advise the business with ad-hoc analytics as well as apply statistical techniques to create insights and discover new business opportunities
Provide technical coaching and cultivate best practices with our data analysts
Enable and support the business regarding the development and use of data analysis and reporting by building reporting-grade data sources in our BI environment and translating those data sources into meaningful dashboards and reports for easy business use
Provide business expertise and guidance (consultative partnership) on how to apply leverage data analytics and reporting within the product and engineering organizations
Create and deliver documentation and training on reporting and BI tools for business users to enable self-service on company data

What We're Looking For:

7+ years of work experience in Data Analysis
5+ years of experience with Tableau
Highly experienced in SQL
Highly experienced with Growth, Performance Marketing,Loyalty analysis, and research
Demonstrated ability to translate business information needs into analytics, insights, and reporting
Demonstrated knowledge of standard statistical techniques like significance testing, regression modeling, etc.
Experience with Snowflake and dbt is a plus
Working in the Travel and Leisure industry is a plus
An advanced degree in mathematics, statistics, computer science, information science, or related technical field is a plus
Excellent communication and stakeholder relationship skills and a strong team player
",https://tripactions.com/careers/openings/4522119?gh_jid=4522119
FP&A Manager,Finance,"Palo Alto, CA or San Francisco, CA",,"The Strategic Finance team at TripActions is focused on three primary objectives:

Measuring and reporting on financial performance and organizational health. The team identifies key drivers and metrics that are fundamental to driving the financial health of the business. Additionally, the team leverages technology to automate reporting. 
Shaping company priorities around value-creating activities. The team builds a deep understanding of strategic principles and how the company creates value for shareholders, customers, and partners. As a fast-moving business that’s disrupting a stale industry, it’s not always obvious where to focus first. It’s essential for this team to continually drive insights into the business and to work cross-functionally across the organization to identify actions to be taken to improve value-creation. 
Supporting complex decisions and coaching others on how to use and interpret financial data. The team should serve as knowledge integrators, connecting people and data across all parts of the organization to improve decision-making. However, just as important as being the integrator is being the enabler and coach, making sure the right questions are being asked and appropriate analytical tools are being used - especially when we’re not in the room.

What You’ll Do:
As an FP&A Manager your role will be critical in providing strategic financial guidance to TripAction’s R&D leadership team and planning for the future state of the business.  We are looking for a strong leader with exceptional analytical skills, an effective communicator, who is passionate about driving change in a dynamic fast-paced environment.  You will be responsible for:

Leading beyond budgeting and planning - be a thought leader and trusted partner with the R&D leadership team to drive strategic initiatives
Develop an in-depth understanding of key business drivers of the R&D functions and communicate how these drivers impact the strategic and financial future of the company
Assist in developing and executing the quarterly and annual financial planning and review
Manage software capitalization process, developing a scalable process, and ensuring appropriate accounting controls are maintained
Partner with the Accounting team to perform month-end close activities and help drive process improvements and efficiencies in the close process

What We’re Looking For:

Have 6+ years of work experience, with at least 3 years of experience in FP&A, investment banking, or corporate development a plus
Be able to build trust with stakeholders and senior leaders across the organization and drive results through soft skills, not through mandates
Have extensive competency in building and auditing sophisticated financial models and large data sets
Be entrepreneurial and have an enthusiastic ""get stuff done"" mentality
Be able to expertly balance the need to deliver accurate data and insights that drive focused action with the speed and fast-paced nature of TripActions
Thrive in ambiguous, fast-moving, and high-intensity environments
The position is located in Palo Alto / San Francisco

#LI-AC3
 #LI-Hybrid ",https://tripactions.com/careers/openings/4558972?gh_jid=4558972
Enterprise Sales Development Representative - Frankfurt am Main ,Sales Development,"Berlin, Germany",,"TripActions is looking to add an Enterprise Sales Development Representative to join our growing Sales Development team in Frankfurt, Germany. This person will help to support our DACH Region by creatively prospecting and proactively reaching out to new customers. This role will be vital in building pipeline and revenue for the company. You will be selling predominately to decision makers in Finance and must be known to get creative in your messaging. The ideal candidate is a curious, self starter who is dedicated to their team and achieving their personal goals.
What You'll Do:

Grow TripActions customer list through outreach emails, calls and qualification
Partner with our account executive team to help generate meetings and sales pipeline
Create and prioritize target account and contact lists
Conduct high level conversations and build relationships with executives in assigned accounts
Work closely with Sales and Marketing on projects that help drive revenue growth 

What We're Looking For:

6+ months of prior outbound sales experience post-graduation 
Strong experience in cold prospecting 
Proven track record of hitting or exceeding sales targets
You are curious: always looking for an opportunity to learn, grow and give/receive feedback
A self-starter: when you see a need, you address it
Collaborator: you enjoy working with others and helping whenever possible
Must have min C1 level German 
",https://tripactions.com/careers/openings/4554959?gh_jid=4554959
Enterprise Launch Manager,Customer Success: Fintech,"New York, NY",,"As an Enterprise Launch Manager on the Customer Success team, you will be responsible for the successful implementation of TripActions travel and expense platform with a portfolio of Enterprise customers. You will play an integral part in ensuring our customers have a smooth and seamless onboarding experience by acting as the global project manager and technical point-of-contact through launch. This role will drive cross-functional partnerships with the TripAction's internal team - Sales, Support, Marketing, Product, Engineering, and Finance.
This role does require experience working with one of the following: month end close experience preferably with cloud based ERPs, experience implementing or administering expense programs or corporate card programs. 

Own implementation success from project kickoff to go-live, leveraging strong project management skills and deep product knowledge.
Build and execute detailed project plans, own project activities, work with other team members to execute on project deliverables to ensure on time, high quality deployments.
Identify and drive efficiency in the onboarding process by developing best practices and process improvements on an ongoing basis, and create and maintain process documentation / work instructions
Partner with Customer Success as a customer-facing consultant to drive complex, multi-stakeholder global implementations across industries to understand the customers’ business and technical needs related to the implementation and adoption of the TripActions platform
Lead the discovery process for qualifying and creating a solution that solves customers objectives to integrate TripActions’ features into existing workflows 
Assist customers in navigating the technical aspects of the onboarding process and identifying when to best utilize the Technical Resource Manager
Understand and document customer pain points, advocate for them internally to influence product changes.
Assist customers to quickly identify potential issues and escalate them appropriately to ensure the best possible experience during the onboarding period

What You'll Do:

Serve as a TripActions and Implementation subject matter expert
Act as a trusted advisor for customers, guiding them through the implementation ensuring they leverage and apply TripActions Best Practices.
Develop and optimize enterprise training programs including written and video collateral.
Identify and work with sales on pre-engagement opportunities and RFP’s
Collaborate with Sales, Product, Operations, Travel Experience/Support, Consulting & Supply, and Customer Success in order to meet existing, new, and future customer needs
Create, maintain and communicate plans and progress to PM.
Develop tailored training programs including hosting remote or on site training, creating training materials and standard operating procedures.
Provide an excellent customer experience through high-quality communication and interactions.
Act as the key Project Manager ensuring accurate completion of numerous implementation tasks.
Identify areas for improvement in the customer experience, both in our product and processes.
Advocate for customer needs and issues cross-departmentally.

What We’re Looking For:

4+ years in project and account management or implementations where you have had to advise clients, build strategic relationships, implement and onboard complex customers, and run multiple efficient projects at once. 
Experience implementing or administering expense programs and/or corporate card programs
Experience with month-end close experience, preferably with cloud based ERPs (e.g. NetSuite, Sage Intacct, Quickbooks Online)
You are a hyper-effective person who can dig into the weeds, pull up to connect back to strategy, and generally “gets stuff done.”
Understanding the unique business requirements of customers within multiple industries and translating/presenting those needs into a compelling vision and roadmap for our customers.
Solid oral, written, presentation and interpersonal communication and relationship skills.
Proven time management skills in a dynamic team environment.
Ability to work as part of a team to solve problems in dynamic, energizing environments.
Inquisitive, practical and passionate about technology and sharing knowledge.
Likes to be the first to know something and to understand why and how things happen.
Good at explaining ideas and finding ways to keep people’s attention.
Willing and able to travel to visit customers and prospects
CPA Preferred

#LI-AC3
#LI-Onsite",https://tripactions.com/careers/openings/4539320?gh_jid=4539320
Enterprise Launch Manager,Customer Success: Fintech,"Salt Lake City, UT",,"As an Enterprise Launch Manager on the Customer Success team, you will be responsible for the successful implementation of TripActions travel and expense platform with a portfolio of Enterprise customers. You will play an integral part in ensuring our customers have a smooth and seamless onboarding experience by acting as the global project manager and technical point-of-contact through launch. This role will drive cross-functional partnerships with the TripAction's internal team - Sales, Support, Marketing, Product, Engineering, and Finance.
This role does require experience working with one of the following: month end close experience preferably with cloud based ERPs, experience implementing or administering expense programs or corporate card programs. 

Own implementation success from project kickoff to go-live, leveraging strong project management skills and deep product knowledge.
Build and execute detailed project plans, own project activities, work with other team members to execute on project deliverables to ensure on time, high quality deployments.
Identify and drive efficiency in the onboarding process by developing best practices and process improvements on an ongoing basis, and create and maintain process documentation / work instructions
Partner with Customer Success as a customer-facing consultant to drive complex, multi-stakeholder global implementations across industries to understand the customers’ business and technical needs related to the implementation and adoption of the TripActions platform
Lead the discovery process for qualifying and creating a solution that solves customers objectives to integrate TripActions’ features into existing workflows 
Assist customers in navigating the technical aspects of the onboarding process and identifying when to best utilize the Technical Resource Manager
Understand and document customer pain points, advocate for them internally to influence product changes.
Assist customers to quickly identify potential issues and escalate them appropriately to ensure the best possible experience during the onboarding period

What You'll Do:

Serve as a TripActions and Implementation subject matter expert
Act as a trusted advisor for customers, guiding them through the implementation ensuring they leverage and apply TripActions Best Practices.
Develop and optimize enterprise training programs including written and video collateral.
Identify and work with sales on pre-engagement opportunities and RFP’s
Collaborate with Sales, Product, Operations, Travel Experience/Support, Consulting & Supply, and Customer Success in order to meet existing, new, and future customer needs
Create, maintain and communicate plans and progress to PM.
Develop tailored training programs including hosting remote or on site training, creating training materials and standard operating procedures.
Provide an excellent customer experience through high-quality communication and interactions.
Act as the key Project Manager ensuring accurate completion of numerous implementation tasks.
Identify areas for improvement in the customer experience, both in our product and processes.
Advocate for customer needs and issues cross-departmentally.

What We’re Looking For:

4+ years in project and account management or implementations where you have had to advise clients, build strategic relationships, implement and onboard complex customers, and run multiple efficient projects at once. 
Experience implementing or administering expense programs and/or corporate card programs
Experience with month-end close experience, preferably with cloud based ERPs (e.g. NetSuite, Sage Intacct, Quickbooks Online)
You are a hyper-effective person who can dig into the weeds, pull up to connect back to strategy, and generally “gets stuff done.”
Understanding the unique business requirements of customers within multiple industries and translating/presenting those needs into a compelling vision and roadmap for our customers.
Solid oral, written, presentation and interpersonal communication and relationship skills.
Proven time management skills in a dynamic team environment.
Ability to work as part of a team to solve problems in dynamic, energizing environments.
Inquisitive, practical and passionate about technology and sharing knowledge.
Likes to be the first to know something and to understand why and how things happen.
Good at explaining ideas and finding ways to keep people’s attention.
Willing and able to travel to visit customers and prospects
CPA Preferred

#LI-AC3
#LI-Onsite",https://tripactions.com/careers/openings/4539322?gh_jid=4539322
Enterprise Launch Manager,Customer Success: Fintech,"Palo Alto, CA or San Francisco, CA",,"As an Enterprise Launch Manager on the Customer Success team, you will be responsible for the successful implementation of TripActions travel and expense platform with a portfolio of Enterprise customers. You will play an integral part in ensuring our customers have a smooth and seamless onboarding experience by acting as the global project manager and technical point-of-contact through launch. This role will drive cross-functional partnerships with the TripAction's internal team - Sales, Support, Marketing, Product, Engineering, and Finance.
This role does require experience working with one of the following: month end close experience preferably with cloud based ERPs, experience implementing or administering expense programs or corporate card programs. 

Own implementation success from project kickoff to go-live, leveraging strong project management skills and deep product knowledge.
Build and execute detailed project plans, own project activities, work with other team members to execute on project deliverables to ensure on time, high quality deployments.
Identify and drive efficiency in the onboarding process by developing best practices and process improvements on an ongoing basis, and create and maintain process documentation / work instructions
Partner with Customer Success as a customer-facing consultant to drive complex, multi-stakeholder global implementations across industries to understand the customers’ business and technical needs related to the implementation and adoption of the TripActions platform
Lead the discovery process for qualifying and creating a solution that solves customers objectives to integrate TripActions’ features into existing workflows 
Assist customers in navigating the technical aspects of the onboarding process and identifying when to best utilize the Technical Resource Manager
Understand and document customer pain points, advocate for them internally to influence product changes.
Assist customers to quickly identify potential issues and escalate them appropriately to ensure the best possible experience during the onboarding period

What You'll Do:

Serve as a TripActions and Implementation subject matter expert
Act as a trusted advisor for customers, guiding them through the implementation ensuring they leverage and apply TripActions Best Practices.
Develop and optimize enterprise training programs including written and video collateral.
Identify and work with sales on pre-engagement opportunities and RFP’s
Collaborate with Sales, Product, Operations, Travel Experience/Support, Consulting & Supply, and Customer Success in order to meet existing, new, and future customer needs
Create, maintain and communicate plans and progress to PM.
Develop tailored training programs including hosting remote or on site training, creating training materials and standard operating procedures.
Provide an excellent customer experience through high-quality communication and interactions.
Act as the key Project Manager ensuring accurate completion of numerous implementation tasks.
Identify areas for improvement in the customer experience, both in our product and processes.
Advocate for customer needs and issues cross-departmentally.

What We’re Looking For:

4+ years in project and account management or implementations where you have had to advise clients, build strategic relationships, implement and onboard complex customers, and run multiple efficient projects at once. 
Experience implementing or administering expense programs and/or corporate card programs
Experience with month-end close experience, preferably with cloud based ERPs (e.g. NetSuite, Sage Intacct, Quickbooks Online)
You are a hyper-effective person who can dig into the weeds, pull up to connect back to strategy, and generally “gets stuff done.”
Understanding the unique business requirements of customers within multiple industries and translating/presenting those needs into a compelling vision and roadmap for our customers.
Solid oral, written, presentation and interpersonal communication and relationship skills.
Proven time management skills in a dynamic team environment.
Ability to work as part of a team to solve problems in dynamic, energizing environments.
Inquisitive, practical and passionate about technology and sharing knowledge.
Likes to be the first to know something and to understand why and how things happen.
Good at explaining ideas and finding ways to keep people’s attention.
Willing and able to travel to visit customers and prospects
CPA Preferred

#LI-AC3
#LI-Onsite",https://tripactions.com/careers/openings/4539298?gh_jid=4539298
Enterprise Launch Manager,Customer Success: Fintech,"Austin, TX",,"As an Enterprise Launch Manager on the Customer Success team, you will be responsible for the successful implementation of TripActions travel and expense platform with a portfolio of Enterprise customers. You will play an integral part in ensuring our customers have a smooth and seamless onboarding experience by acting as the global project manager and technical point-of-contact through launch. This role will drive cross-functional partnerships with the TripAction's internal team - Sales, Support, Marketing, Product, Engineering, and Finance.
This role does require experience working with one of the following: month end close experience preferably with cloud based ERPs, experience implementing or administering expense programs or corporate card programs. 

Own implementation success from project kickoff to go-live, leveraging strong project management skills and deep product knowledge.
Build and execute detailed project plans, own project activities, work with other team members to execute on project deliverables to ensure on time, high quality deployments.
Identify and drive efficiency in the onboarding process by developing best practices and process improvements on an ongoing basis, and create and maintain process documentation / work instructions
Partner with Customer Success as a customer-facing consultant to drive complex, multi-stakeholder global implementations across industries to understand the customers’ business and technical needs related to the implementation and adoption of the TripActions platform
Lead the discovery process for qualifying and creating a solution that solves customers objectives to integrate TripActions’ features into existing workflows 
Assist customers in navigating the technical aspects of the onboarding process and identifying when to best utilize the Technical Resource Manager
Understand and document customer pain points, advocate for them internally to influence product changes.
Assist customers to quickly identify potential issues and escalate them appropriately to ensure the best possible experience during the onboarding period

What You'll Do:

Serve as a TripActions and Implementation subject matter expert
Act as a trusted advisor for customers, guiding them through the implementation ensuring they leverage and apply TripActions Best Practices.
Develop and optimize enterprise training programs including written and video collateral.
Identify and work with sales on pre-engagement opportunities and RFP’s
Collaborate with Sales, Product, Operations, Travel Experience/Support, Consulting & Supply, and Customer Success in order to meet existing, new, and future customer needs
Create, maintain and communicate plans and progress to PM.
Develop tailored training programs including hosting remote or on site training, creating training materials and standard operating procedures.
Provide an excellent customer experience through high-quality communication and interactions.
Act as the key Project Manager ensuring accurate completion of numerous implementation tasks.
Identify areas for improvement in the customer experience, both in our product and processes.
Advocate for customer needs and issues cross-departmentally.

What We’re Looking For:

4+ years in project and account management or implementations where you have had to advise clients, build strategic relationships, implement and onboard complex customers, and run multiple efficient projects at once. 
Experience implementing or administering expense programs and/or corporate card programs
Experience with month-end close experience, preferably with cloud based ERPs (e.g. NetSuite, Sage Intacct, Quickbooks Online)
You are a hyper-effective person who can dig into the weeds, pull up to connect back to strategy, and generally “gets stuff done.”
Understanding the unique business requirements of customers within multiple industries and translating/presenting those needs into a compelling vision and roadmap for our customers.
Solid oral, written, presentation and interpersonal communication and relationship skills.
Proven time management skills in a dynamic team environment.
Ability to work as part of a team to solve problems in dynamic, energizing environments.
Inquisitive, practical and passionate about technology and sharing knowledge.
Likes to be the first to know something and to understand why and how things happen.
Good at explaining ideas and finding ways to keep people’s attention.
Willing and able to travel to visit customers and prospects
CPA Preferred

#LI-AC3
#LI-Onsite",https://tripactions.com/careers/openings/4539318?gh_jid=4539318
